Amharic,Oromo,domain
ቶም ኮቱን የት እንደሚሰቅል አሰበ።,toom kootii isaa eessatti akka fannisu yaade.,General
እሱ ሁሉንም አይነት ስፖርቶች ይወዳል።,ispoortii gosa hunda ni jaallata.,General
ዳይሬክተር ሆንኩኝ።,daarektarri ta'e.,Business/Economy
ያ ርእስ እጅግ አሳሳች ነበር።,mata dureen sun garmalee nama dogoggorsaa ture.,General
ለስራ ተፈታሁ፧,dirqamaaf qulqullaa'ee jiraa?,General
እራሱን ፈረንሳይኛ አስተማረ።,afaan faransaayii of barsiise.,General
ሊፍቱን ይያዙ፣ ቶም።,"liftii qabadhu, toom.",General
ለምን ያህል ጊዜ ይፈልጋሉ፧,hanga yoomiif barbaadda?,General
ሁላችሁም ዘና ማለት ትችላላችሁ፧,hundi keessan ni boqottu?,General
በእርግጥ እሱ ቆንጆ እና አስተዋይ ነው፣ ነገር ግን ስለ እሱ ልወደው የማልችለው ነገር አለ።,"inni bareedaa fi sammuu akka ta'e beekamaadha, garuu waa'ee isaa wanti ani jaallachuu hin dandeenye tokko jira.",General
ቶም በትክክል እየሰራ ነው።,toom waan gaarii hojjechaa jira.,General
ከአልጋው ወጣ።,innis siree irraa utaalee ka'e.,Health/Medical
ህዝቡን ማስደሰት ፈለገ።,namoota walitti qabaman gammachiisuu barbaade.,General
ሚስትህ ደውላ ወደ ቤትህ ስትሄድ ፒያሳ እንድታገኝ ትፈልጋለች።,haati manaa kee bilbiltee karaa manaa akka ati piizaa fudhattu barbaaddi.,General
ቶም የሚሰማ አይመስለኝም።,toom waan dhaggeeffatu natti hin fakkaatu.,General
ከአንተ ጋር እንዳልስማማ እፈራለሁ።,si waliin walii hin galu jedheen sodaadha.,General
ለጥያቄዬ ምንም ምላሽ አልነበረም።,gaaffii kootiif deebii hin arganne.,Education
ከእሱ ጋር ለመስራት መታገስ አልችልም።,isa waliin hojjechuu obsuu hin danda'u.,General
እዚህ የመጣሁት ስለ ቶም ለመነጋገር ነው።,waa'ee toomii dubbachuuf as dhufe.,General
እራት የት እንደምንበላ ግድ የለኝም። ሙሉ በሙሉ የአንተ ጉዳይ ነው።,bakka irbaata nyaannu na hin dhibu. guutummaatti sirratti hundaa'a.,Health/Medical
የሚዋሹልህ ሰወች ይዋሹሃል።,"Namoonni siif soban, si sobu.",General
ምንም ጥያቄዎች ከገደብ ውጪ አይደሉም።,gaaffiin kamiyyuu daangaa ala miti.,Education
ዋጋዎች እየጨመሩ ይሄዳሉ።,gatiin ol ka'aa deema.,Business/Economy
ከሰኞ እስከ ቅዳሜ እሰራለሁ።,isniina hanga dilbataatti nan hojjedha.,General
ቡና እወዳለሁ።,buna baay'een jaalladha.,Agriculture
ዋጋው ስንት ነው፧,gatiin sun meeqa?,Business/Economy
ካልተቸገርኩኝ ጥቂት ጥያቄዎችን ልጠይቅህ እፈልጋለሁ።,yoo isin hin dhibne gaaffii muraasa isin gaafachuun barbaada.,Education
እሱዋን የሚንከባከብ ማንም የለም።,namni ishee ilaalu hin jiru.,General
ወፎች በደመ ነፍስ መብረርን ይማራሉ።,simbirroonni balali'uu instinct irraa baratu.,Religion
በኹዋላ እንገናኛለን።,booda wal argina.,Religion
አንድ ሆቴል ውስጥ ነን፧,hoteela tokko keessa jirraa?,General
የባንክ ዘረፋው እስከ መጨረሻው ዝርዝር ድረስ የታቀደ ይመስላል።,saamichi baankii kun hanga bal'ina dhumaatti kan karoorfame fakkaata.,Business/Economy
ያስከፋሃል፧,si mufachiisaa?,General
የመጣሁት ከአውስትራሊያ ትንሽ ከተማ ነው።,magaalaa xiqqoo awustiraaliyaa tokko irraan dhufe.,General
ያንን ፊልም ከእርስዎ ጋር ማየት ፈልጌ ነበር።,fiilmii sana si waliin ilaaluun barbaade.,General
በሚቀጥለው ሳምንት ብመለስ ደስ ይለኛል።,torban dhufu deebi'ee dhufuu nan jaaladha.,General
ብዙ ምርጫ አልሰጠኸንም።,filannoo guddaa nuuf hin kennine.,Government
ፈተና መውሰድ አለብኝ።,qormaata fudhachuun qaba.,Education
ሲነገሩ ወዲያውኑ መልስ ይስጡ።,yeroo dubbatamu al tokkotti deebisi.,Education
ቶም ማርያምን የረዳ ሰው ነው።,toom nama maariyaam gargaaredha.,Religion
አዲስ ጎማዎች እፈልጋለሁ።,gommaa haaraa na barbaachisa.,General
ሳምኩህ አላምንም።,si dhungadhe jedhee amanuu hin danda'u.,Agriculture
ቶም ወደ ቤት መጥቶ የቤት ስራውን ሰራ።,toom mana dhufee hojii manaa isaa hojjete.,General
በየቦታው አይተናል አይደል፧,bakka hunda ilaalleerra mitii?,General
ስንት ወንድ ገደላችሁ፧,dhiira meeqa ajjeefte?,General
ለክፍሉ እየመረመርኩ ነው።,kutaa sanaaf audition gochaa jira.,General
ለምን አደረከው፧,maaliif goote?,General
ወላጆቼ አሁን ቤት አይደሉም።,warri koo yeroo ammaa mana hin jiran.,General
ቦርሳህ ጠረጴዛዬ ላይ ነው።,borsaan kee deeskii koo irra jira.,General
ቶም ከዚህ በፊት ችግር ውስጥ ገብቱዋል።,toom kanaan duras rakkina keessa of galcheera.,General
በጎ ፈቃደኞች ሁል ጊዜ እንኳን ደህና መጡ።,Tola ooltonni yeroo hunda baga nagaan dhuftan.,General
ከዚህ በላይ መራመድ አልቻለም።,kana caalaa deemuu hin dandeenye.,General
የሚለውን ጥያቄ መመለስ አልችልም።,gaaffii sana deebisuu hin danda'u.,Education
የሚባለውን መስማት አልቻልኩም።,waan jedhamaa jiru dhagahuu hin dandeenye.,General
ማንኛውንም ጥያቄ ለመመለስ ጊዜ የለኝም።,gaaffii kamiifuu deebisuuf yeroon hin qabu.,Education
አለመሳካቱን በመጥፎ እድል ምክንያት ተናገረ።,kufaatii isaas carraa badaatiif sababa ta'eera.,General
እርግጠኛ ነህ ሳትሰናበተው መሄድ ትፈልጋለህ፧,osoo nagaa hin jedhiin deemuu akka barbaaddu mirkaneeffatteettaa?,General
ባህሪዎ ብዙ የሚፈለጉትን ይተዋል።,amalli kee waan baay'ee dhiisa.,General
ከመተኛቴ በፊት ሁለት ተጨማሪ ምእራፎችን አነበብኩ።,osoon hin rafiin boqonnaa tokko lama dabalataan dubbise.,General
እንድረዳው ይፈቅድልኝ ነበር።,inni akkan isa gargaaru naaf hayyama ture.,General
የምታስበውን አውቃለሁ።,waan ati yaaddu nan beeka.,General
የዚያን ቤተመቅደስ ስም አላውቅም።,maqaa mana qulqullummaa sanaa hin beeku.,General
ፖሊስ ወንበዴውን በቀይ እጁ ያዘው።,poolisiin saamtuu kana harka diimaatiin qabate.,Government
ከእኔ የሚበልጥ ሰው ጋር ተገናኝቼ አላውቅም።,nama na caalu waliin jaalala jalqabee hin beeku.,Religion
ረግሜአለሁ።,jedheen abaare.,General
እነዚህ ሴት ልጆቼ ናቸው።,isaan kun ijoollee durbaa kooti.,General
ቶም በጣም ታዛዥ አይደለም አይደል፧,toom baayʼee kan ajajamu mitii?,General
በእርጅና ዘመኑ የሚያደርገውን ለማቀድ ህልም በማለም በጣም ተጠምዷል።,abjuu abjuudhaan baay'ee qabamee waan jiruuf dulluma isaa keessatti maal akka hojjetu karoorfachuu hin danda'u.,General
እውነት እንደዛ ይወዳሉ፧,dhuguma akkas ni jaallattaa?,Religion
ገና ለገና እንሰባሰብ።,mee ayyaana masqalaa irratti walitti haa dhufnu.,Religion
ትከሻዎን ይጎትቱ።,garba kee ol qabi.,General
በየቀኑ ጠዋት አንድ ብርጭቆ ውሃ ይጠጣል።,ganama ganama bishaan koochoo tokko dhuga.,Business/Economy
እውነቱን እስኪያውቅ ድረስ ማረፍ አልቻለም።,hanga dhugaa beekutti boqochuu hin dandeenye.,General
ነገ ያንን ሪፖርት እንፈልጋለን።,gabaasa sana hanga boruutti nu barbaachisa.,Government
ችግሮች ሊፈጠሩ ይችላሉ።,rakkoon uumamuu danda'a.,General
የተተዋወቅን አይመስለኝም።,akka waan nuti wal barsiisne natti hin fakkaatu.,General
ውሻውን መራመድ ትችላላችሁ፧,saree sana deemuu dandeessaa?,General
ቶም ጫማ ነበረው ነገር ግን ካልሲ አልነበረውም።,toom kophee uffatee ture garuu soksii hin qabu ture.,General
ህይወት በአጠገቤ እንዳለፈኝ ይሰማኛል።,jireenyi akka waan na bira darbaa jiruutti natti dhagahama.,Religion
ረጅም ጊዜ ተኝተሃል።,yeroo dheeraaf rafteetta.,General
ቶም የምናገረውን ሁሉ ያምናል።,toom waanan jedhu hunda ni amana.,General
በአለም ውስጥ ስንት ቁዋንቁዋዎች አሉ፧,addunyaa kanarra afaan meeqatu jira?,General
እቅዱን ደግፈሃል አይደል፧,karoora kana ni deggerta mitii?,General
መናፍስትን አትፈራም አይደል፧,hafuurota hin sodaattu mitii?,General
ቤት ስደርስ ልጆቼ ሁሉንም ኩኪዎች በልተው ነበር።,ijoolleen koo yeroon mana gahu kukii hunda nyaataniiru.,General
ከጓደኛዋ በእንባ ተለያለች።,hiriyaa ishee irraa imimmaan dhangalaasaa addaan baate.,General
እንግዶቻችንን እንቀበል።,keessummoota keenya haa simannu.,General
በክፍሉዋ ውስጥ ካሉ ተማሪዎች ሁሉ የተሻለች ዘፋኝ ነች።,barattoota kutaa ishee keessa jiran kamiyyuu caalaa weellistuun gaarii dha.,Education
አንድ በጣም አስፈላጊ ጉዳይ ከእርስዎ ጋር መወያየት እፈልጋለሁ።,dhimma baayyee barbaachisaa ta'e tokko irratti isin waliin mari'achuu barbaada.,General
የኛ ከበሮ ሰሪ ቡድኑን እያቆመ ነው።,drummer keenya baandii gadhiisaa jira.,General
መምህሩ ሀሳቡን በሙከራ አሳይቱዋል።,barsiisaan yaada kana yaaliidhaan agarsiise.,General
ሊንኩን ተጫንኩት።,link sana cuqaaseen ture.,General
ለማንኛውም እንጀምር።,maalumaafuu haa jalqabnu.,General
ለክፍያ ክሬዲት ካርድ መጠቀም እችላለሁ፧,kaffaltiidhaaf kaardii liqii fayyadamuu nan dandaʼaa?,General
ወደ ስጋ ቤት መሄድ አለብኝ።,gara mana foon qalaa deemuun na barbaachisa.,General
ወደ ቤት ብትነዳኝ ደግ ነው።,ooftee gara manaatti na geessuun gosa keeti.,General
ቁጥሬን ስጣቸው።,lakkoofsa koo isaaniif kenni.,General
ፍጹም መረዳት የሚቻል ነው።,guutumaan guututti hubatamaadha.,General
ቲያትር ቤቱ ውስጥ በጣም ረጅም ሰው ከኹዋላ ተቀመጥኩ።,tiyaatira sanatti nama baayyee dheeraa tokko duuba taa'een ture.,General
ቶም ጥርሱን ነጣ።,toom ilkaan isaa adii godhe.,General
ይህንን ብቻዬን ማስተናገድ አለብኝ።,kana kophaa koo to'achuu qaba.,General
ቴሌቪዥን ማየት ሰልችቶታል።,televijiinii ilaaluu dadhabeera.,General
በክርስትና ኢየሱስ የእግዚአብሄር ልጅ እንደሆነ ይታመናል።,kiristaanummaa keessatti yesuus ilma waaqayyoo ta'uun ni amanama.,Religion
እሱ ታማኝ ነው ብዬ አስባለሁ።,inni amanamaa akka ta'e natti fakkaata.,General
በየቀኑ በባህር ውስጥ እዋኛለሁ።,guyyaa guyyaan galaana keessa dabbadha.,General
ቶም እና ማርያም ሌሊቱን ከዋክብት ስር አደሩ።,toomii fi meerii halkan sana urjii jalatti dabarsan.,Religion
የወጥ ቤት ቢላዋ ነው።,innis cirracha kushiinaa ti.,General
አንዴ ማውራት ከጀመረች ምንም የሚከለክላት የለም።,erga haasa'uu eegaltee booda kan ishee dhaabu hin jiru.,General
ሂሳቡ እነሆ።,labsiin isaa kunooti.,General
እስቲ ይህን ላስተናግድ።,mee kana haa ilaalu.,General
እኔ እንደማስበው ቶም ማርያምን ወደ ድግሱ ይወስዳታል ተብሎ የማይታሰብ ነው።,toom meerii gara affeerraa sanaatti geessuun isaa baayyee hin oolu jedheen yaada.,Religion
ማድረግ ያለበት ይህ ብቻ ነው።,kana qofa gochuu qaba.,General
ሳንቲሞች ከብረት የተሰሩ ናቸው።,saantima sibiila irraa hojjetama.,General
እዚህ ጥሩ ጊዜ አሳልፌያለሁ።,asitti yeroo ajaa'ibaa dabarseera.,Health/Medical
እሳተ ገሞራው እንደገና ንቁ ሆኗል።,volkaanoon kun ammas sochiirra jira.,Religion
ምን አይነት ሰው መሆን እንደሚፈልጉ መወሰን ያስፈልግዎታል።,nama akkamii ta'uu akka barbaaddu murteessuu qabda.,General
ይህ መዝገበ ቃላት ሙሉ በሙሉ ከንቱ ነው።,galmeen jechootaa kun guutummaatti faayidaa hin qabu.,General
ይህ በቂ አይደለም ብዬ አስባለሁ።,kun gahaa miti jedheen yaada.,General
የእንግሊዝኛ ምግብ ለመመገብ ምንም ፍላጎት የለኝም።,nyaata ingiliffaa nyaachuuf fedhii tokkollee hin qabu.,General
በማገዝ ደስ ብሎኝ ነበር።,gargaaruun koo na gammachiise.,General
ይህ አስጨናቂ ሁኔታ ነው።,kun haala dhiphina guddaa qabuudha.,General
አዎ እንደምል እንዴት አወቅክ፧,eeyyee jechuu akkan jiru akkamitti beekte?,Health/Medical
ሚስትህ ምን አለች፧,haati manaa kee maal jette?,General
ከእናንተ ማንኛችሁ ነው መጀመሪያ የሚሞክረው፧,isin keessaa kamtu dursee yaala?,Government
ብዙውን ጊዜ በስምንት እነሳለሁ።,yeroo baayyee sa'aatii saddeetitti nan ka'a.,General
እድለኛ ይሰማዎታል፧,carraa akka qabdu sitti dhagaʼamaa?,General
እኔ እስከማውቀው ድረስ ይህ ብቸኛው ትርጉም ነው።,hanga ani beekutti hiikkaan jiru kana qofaadha.,General
የክለቡን ህግ መጣስ ከቀጠልክ ወደ ውጭ ትጣላለህ።,seera kilabichaa cabsuu yoo itti fufte ni darbatama.,Government
መቆየት እና መታገል ያለብን ይመስለኛል።,hafnee qabsaa'uu qabna jedheen yaada.,General
አንድ ሰው ያለ ውሃ መኖር አይችልም።,namni bishaan malee jiraachuu hin danda'u.,General
ማልቀስ ይበቃል። እራስዎን አንድ ላይ ይሳቡ።,boo'ichi sun gahaadha. walitti of harkisi.,General
እርስዎን ለመርዳት ሁል ጊዜ እዚህ እሆናለሁ።,yeroo hundumaa si gargaaruuf as jira.,General
ልናስወግዳቸው የማንችላቸው ብዙ ችግሮች አሉ።,rakkoon nuti irraa fagaachuu hin dandeenye baay'eedha.,General
ለመግዛት በቂ ገንዘብ አለህ፧,maallaqa tokko bitachuuf gahaa qabdaa?,Business/Economy
ከጠበኩት በላይ ተገረመ።,innis waanan eege caalaa ajaa'ibsiifate.,General
በውሸት አስመስሎ ወደዚህ የሚያመጣልኝ ብዙ ነርቭ አለህ።,fakkeessaa sobaa jalatti as na fiduun narvii guddaa qabda.,General
ይህ አሰልቺ ነው።,kun nama nuffisiisa.,General
አልተሳካልንም።,hin milkoofne.,General
ያ አንጀት ወሰደ።,sun garaacha fudhate.,Health/Medical
ንስር በሰማይ እየበረረ ነው።,adurree tokko samii keessa balali'aa jira.,General
እባኮትን በብእር ይጻፉ።,mee qalamaan barreessaa.,General
በዝርዝሩ ውስጥ ሰላሳ ስሞች አሉ።,tarree kana keessa maqaa soddomatu jira.,General
ይህ የእኛ ባቡር አይደለም።,kun baabura keenya miti.,General
ወደ ፓሪስ ሄደ።,gara paarisitti ka'e.,General
ቶም ብዙውን ጊዜ በሰአቱ ይመጣል።,yeroo baayyee toom yeroon dhufa.,General
ለጭስ ቆመ።,innis aarrii tokkoof dhaabbate.,General
ቶም ገናን ከቤተሰቡ ጋር ማሳለፍ ፈለገ።,toom ayyaana qillee maatii isaa wajjin dabarsuu barbaade.,Religion
እቅድህ ከእኔ የተሻለ ይመስላል።,karoorri kee kan koo caalaa gaarii natti fakkaata.,General
የተናገረው እውነት ሆነ።,wanti inni jedhe dhugaa ta'ee argame.,Religion
በምርጫው አብላጫ ድምጽ አሸንፏል።,filannoo kana harka caaluun injifate.,Government
ብስክሌታችሁን ከጭነት መኪናው ጀርባ ላይ ይጣሉት እና ወደ ቤት እወስድሻለሁ።,biskileetii kee konkolaataa fe'umsaa duubatti darbadhu qofa gara manaatti si oofaa.,General
ቶም ደግሞ አርቲስት ነው።,toom aartiistiidha.,General
ያን ማራኪ ሆኖ አግኝቼዋለሁ።,sun waan nama hawwatu natti fakkaate.,General
ብልህነቱዋ ብዙ ጊዜ ይገርመኛል።,yeroo baayyee ogummaan ishee na ajaa'ibsiisa.,General
ካልሞከርክ በስተቀር ማድረግ እንደማትችል እንዴት ታውቃለህ፧,yoo yaalte malee akka hin dandeenye akkamitti beekta?,General
ለዘላለም ልደብቅህ አልችልም።,bara baraan si dhoksuu hin danda'u.,General
እስከ ስድስት ድረስ ቤት ይቆዩ።,hanga sa'aatii ja'aatti mana turaa.,General
አያቴን እየተንከባከብኩ ነው።,akaakayyuu koo kunuunsaa jira.,General
ከአንድ ቀን በፊት አገኘሁት።,guyyaa duraa isa waliin wal barre.,General
እሱን ችላ በል።,isa bira darbaa.,General
ቶም በሩን ከፍቶ ለማርያም ጆን እቤት እንደሌለች ነገረው።,toom balbala banee meerii joon mana akka hin jirre itti hime.,Religion
ወደ መቀመጫዬ ተመለስኩ።,anis gara teessoo kootti deebi'e.,General
ደንቡ በእኛ ጉዳይ ላይ አይተገበርም።,seerri kun dhimma keenya irratti raawwatiinsa hin qabu.,Agriculture
ቶም ትናንት ተቀበረ።,toom kaleessa awwaalame.,General
እዚያ እንኳን አልፈልግሽም።,achittillee si hin barbaadu.,General
በውበቱዋ ደነገጥኩኝ።,bareedina isheetiin na ajaa'ibe.,General
ቅሬታ አቅርቡዋል።,himata dhiheesse.,General
ቶም የእኛ ቤዝ ተጫዋች ነው።,toom taphataa baasii keenyaati.,General
በካራቴ ጥቁር ቀበቶ ነኝ።,ani kaaraatee keessatti nama gurraacha ta'edha.,General
ቀስቅሴውን ጨመቅኩት።,anis trigger sana micciiree.,General
መንገዱ ጠፍቶ ሊሆን ይችላል።,karaa bade taʼa.,General
ዛሬ ከሰአት በኹዋላ እንደገና እንገናኝ።,har'a waaree booda deebi'ee wal argina.,Religion
ያንን ልነግርህ አልነበረብኝም።,ani akkas sitti himuu hin qabu ture.,General
ዋሽተሃል አላልኩም።,sobda jedhee hin beeku.,General
እንደ ተነገረኝ አደረግሁ።,akkuma natti himame godhe.,General
ፈረንሳይኛ መናገር እወዳለሁ።,afaan faransaayii dubbachuu nan jaalladha.,General
መልካም ምሽት እንዲሆንላችሁ ተስፋ አደርጋለሁ።,galgala gaarii akka isiniif ta'u abdiin qaba.,General
በሃርድዌር መደብር ውስጥ ብዙ ጠቃሚ እቃዎች አሉ።,meeshaaleen faayidaa qaban hedduun mana kuusaa haardwaaraa keessa jiru.,Business/Economy
ከሁሉም ተማሪዎች የበለጠ ያጠናል።,barattoota hunda caalaa cimee barata.,Education
በባዶ እጄ ልገነጣጥልህ እችላለሁ።,harka qullaa kootiin si cicciruu nan danda'a.,General
ከነጭ ቀይ ወይን እመርጣለሁ።,wayinii adii caalaa wayinii diimaa nan filadha.,General
ይህን አልክድም።,ani kana diduu miti.,General
ምን ይመስላል፧,maal fakkaadha?,General
እርስዎ እና እኔ የነፍስ ጓደኞች ነን።,aniifi ati hiriyyoota lubbuuti.,Religion
ንግዱን የሚመራው ማን እንደሆነ አላውቅም።,eenyu akka itti gaafatamaa daldala kanaa hin beeku.,General
የጥርስ ሀኪሙን እንዲያይ መከረችው።,isheenis ogeessa ilkaan akka ilaalu gorsite.,General
ሁለቱን በአንድ ላይ በተለያዩ አጋጣሚዎች አይቻቸዋለሁ።,lamaan isaanii yeroo hedduu waliin argeera.,General
አሁንም ለመጠቅለል ጥቂት የገና ስጦታዎች አሉኝ።,ammallee kennaa ayyaana masqalaa muraasa xumuruuf qaba.,Religion
እኔና ቶም እርዳታ የሚፈልግ ማንኛውንም ሰው እንረዳለን።,aniifi toom nama gargaarsa barbaadu kamiyyuu ni gargaarra.,General
አንድ ልጅ እየሮጠ ወደ እኔ መጣ።,mucaan tokko fiigaa gara kootti dhufe.,General
በዚህ የጥፋተኝነት ስሜት ተሰማኝ።,kanaaf yakki natti dhagaʼame.,General
በየምሽቱ እዚያ እበላለሁ።,halkan hunda achitti nan nyaadha.,General
ያ መጽሃፍ አርጅቱዋል።,kitaabni sun dulloomeera.,General
እንዲህ ያለ ነገር ሊናገር ይችላል፧,silaa waan akkasii dubbachuu danda'aa?,General
ስንት ሰአት ትመለሳለህ፧,sa'aatii meeqatti deebi'a?,General
በአውሮፕላን ከመሄድ ይልቅ በባቡር መሄድን ይመርጣል።,xiyyaaraan deemuurra baaburaan deemuu filata.,General
ይህ ሊሰራ ነው፧,kun ni hojjeta?,General
ባቡሩ ውስጥ ገባ።,baabura keessa seene.,General
ያንን ማድረጌን አላስታውስም።,akkas gochuu koo hin yaadadhu.,General
ጥቂት ሰዎች በቴክኒካል ክፍለ ጊዜ አጀንዳ ላይ ከቀኑ በኹዋላ በአንዳንድ ክፍለ-ጊዜዎች ላይ መገኘት እንደሚፈልጉ ጠቅሰዋል።,namoonni muraasni ajandaa walgahii teeknikaa irratti guyyaa booda walgahii tokko tokko irratti hirmaachuu akka barbaadan kaasaniiru.,General
እሱዋ ሁልጊዜ በመምህሯ ላይ ቅሬታ አለች።,yeroo hunda barsiisaa ishee komatti.,General
ዳንሱን ለማየት እጓጓለሁ።,shubbisa keessan arguuf hawwii guddaan eeggadha.,General
እዚህ ቢራ አይሸጡም።,asitti biiraa hin gurguran.,General
እዚህ የሆነው ያ አልነበረም።,asitti wanti ta'e akkas miti.,General
አስቸጋሪ አይሆንም።,hin ulfaatu.,General
ስለዚያ አውቃለሁ።,waa'ee sanaa nan beeka.,General
በዚህ ላይ ምን አስተያየት አለህ፧,kana irratti yaadni keessan maali?,General
ቶም በጣም የተጨነቀ ይመስላል።,toom baay'ee kan dhiphate fakkaata.,General
ይህ ጥሩ ጅምር ይመስለኛል።,kun jalqaba gaarii natti fakkaata.,General
"ቶም ወደ ፖሊስ እንዳይሄድ እንዴት ታደርጋለህ፧ ""ገንዘብ እሰጠዋለሁ።""","toom gara poolisii akka hin deemne akkamitti goota? ""maallaqa isaaf nan dhiheessa.""",Government
ቶም በዛፉ ግንድ ላይ ተቀመጠ፣ መጽሀፍ እያነበበ።,toom citaa mukaa irra taa'ee kitaaba dubbisaa ture.,General
እቅድህ ጥሩ ነው የኔ ግን የተሻለ ነው።,"karoorri kee gaariidha, kan koo garuu ni caala.",General
ሰባበርከው።,caccabsite.,General
ወደ ቤት ሄጄ ባለቤቴንና ልጆቼን ማየት እፈልጋለሁ።,manatti deebi'ee haadha manaa koo fi ijoollee arguu qofan barbaada.,General
ትንሽ ተጨማሪ ጊዜ እፈልጋለሁ።,yeroo dabalataa na barbaachisa.,General
ድመቱዋ በሶፋው ላይ ተኝታለች።,sareen soofaa irra ciiftee jirti.,General
ህንጻው ቢፈርስም በህይወት ተርፈዋል።,gamoon sun diigamus lubbuun hafan.,Religion
በእሱዋ ታሪክ በጣም ተደሰትን።,seenaa ishee kanaan baayyee nu gammachiise.,Education
ችግሮች ነበሩ፧,rakkoon turee?,General
ካፊቴሪያ ውስጥ ምሳ በላሁ።,laaqana mana nyaataa keessatti nyaadhe.,General
"የት ነው የምትኖረው፧ ""የምኖረው በቶኪዮ ነው።""","ati eessa jiraatta? ""ani tookiyoo jiraadha.""",General
በኹዋላ እከፍላለሁ።,booda nan kaffala.,General
