Amharic,Oromo,domain
አሪፍ ነው!,qabbanaa'aa!,General
ሸፍነኝ.,na haguuggii.,General
ያፍሩት።,cuff isa.,General
ይንዱ።,konkolaachisaa itti fufaa.,General
ቶም ያግኙ.,toomii barbaadi.,General
ይህንን አስተካክል።,kana sirreessaa.,General
ውጣ!,achi irraa fagaadhaa!,General
ውጣ.,achi irraa fagaadhaa.,General
ውረድ!,gad bu'aa!,General
ውረድ።,gad bu'aa.,General
ወገድ!,bade!,General
ወገድ.,bade.,General
እውን ሁን!,dhugaa argadhu!,General
ቀጥልበት!,itti fufi!,General
ቀጥልበት.,itti fufi.,General
ጥሩ ስራ!,hojii gaarii!,General
ቶምን ያዙ.,toomii qabadhu.,General
ያዙት።,isa qabadhu.,General
ይዝናኑ.,taphadhu.,General
ተናገረ።,dubbate.,General
ይሞክራል።,ni yaala.,General
እሱ እርጥብ ነው።,inni jiidha.,General
ቶምን ይርዱ።,toom gargaaraa.,General
ሰላም ናችሁ.,"hi, ijoollee.",Government
ስታምር!,akkam namatti tola!,General
ምን ያህል ጥልቅ ነው?,hammam gadi fageenya?,General
እንዴት ደስ ይላል!,akkam namatti tola!,General
እንዴት ያለ ባለጌ!,akkam gara jabeessa!,General
እንዴት ጥበበኛ ነው!,akkam ogummaa qaba!,General
ፍጥን.,daddafi.,General
እኔ ቶም ነኝ.,ani toom jedhama.,General
ረግሜአለሁ።,jedheen abaare.,General
እሺ አደረግሁ።,ok jedheen hojjedhe.,General
አድርጌዋለሁ።,anis nan raawwadhe.,General
አልተሳካልኝም።,ani kufe.,General
ረሳሁ.,dagadheera.,General
ገብቶኛል.,na argadha.,General
ጮህኩኝ።,anis goofdhe.,General
አገኘሑት.,na argadheera.,General
ረድቻለሁ።,gargaareera.,General
ዘለኹ።,jedheen utaale.,General
ተመለከትኩ።,jedheen ilaale.,General
አለቀስኩ።,jedheen boo'e.,General
ራሴን ነቀነቅኩ።,jedheen mataa koo rukute.,General
ታዘዝኩኝ።,anis ajajame.,General
ስልክ ደወልኩ።,bilbilaan bilbile.,General
እምቢ አለኝ።,ani dide.,General
አረፍኩኝ።,boqodhe.,General
አይቼዋለሁ.,anis argeera.,General
ተነፈስኩ።,jedheen hafuura baafadhe.,General
ፈገግ አልኩኝ።,jedheen kolfe.,General
ቆየሁ.,anis hafe.,General
ተናገርኩኝ።,jedheen haasa'e.,General
እኔ እጠቀማለሁ.,ani itti fayyadama.,General
እኔ እከፍላለሁ.,ani nan kaffala.,General
እሞክራለሁ.,ani nan yaala.,General
ተመልሻለሁ.,ani deebi'eera.,General
መላጣ ነኝ።,ani rifeensa mataa qaba.,General
ሥራ ይዣለው.,hojiin qaba.,General
ተረጋጋሁ።,tasgabbaa'eera.,General
በርዶኛል.,ani qorraan qaba.,General
ደህና ነኝ።,ani qabbanaa'aa dha.,General
መስማት የተሳነኝ ነኝ።,ani gurri koo hin dhageenye.,General
እ'ም ዶነ.,ani xumureera.,General
ፍትሃዊ ነኝ።,ani haqa qabeessa.,General
ፈጣን ነኝ።,ani saffisaan jira.,General
ደህና ነኝ.,an nagaadha.,General
ነጻ ነኝ!,ani bilisa ta'eera!,General
ነጻ ነኝ.,ani bilisa ta'eera.,General
ጠግቤያለሁ.,guudheera.,General
ጨዋታ ነኝ።,ani taphadha.,General
ደስ ብሎኛል.,gammadheera.,General
ቤት ነኝ.,manaan jira.,General
አርፍጃለሁ.,harkifadheera.,General
ሰነፍ ነኝ.,ani dadhabaadha.,General
ተጠፋፋን.,ani badeera.,General
ደህና ነኝ.,ani tole jedheen.,General
ሀብታም ነኝ።,ani dureessadha.,General
ደህና ነኝ።,nagaa qaba.,General
ታምሜአለሁ.,dhukkubseen jira.,General
እርግጠኛ ነኝ.,ani mirkanaa'aa dha.,General
ረጅም ነኝ።,ani dheeraadha.,General
ቀጭን ነኝ።,ani qalladha.,General
ንፁህ ነኝ።,ani qulqulluudha.,General
አስቀያሚ ነኝ.,ani fokkisaadha.,General
ደካማ ነኝ።,ani dadhabeera.,General
ደህና ነኝ.,fayyaan jira.,General
አሸንፌያለሁ።,injifadheera.,General
ይረዳል.,ni gargaara.,General
ያማል.,nama dhukkubsa.,General
ይሰራል.,ni hojjeta.,General
ቶም ነው።,toomiidha.,General
አዝናኝ ነው.,nama gammachiisa.,General
የእሱ ነው።,kan isaati.,General
አዲስ ነው።,haaraa dha.,General
እንግዳ ነገር ነው።,waan ajaa'ibaati.,General
ቀይ ነው.,diimaa dha.,General
አሳዛኝ ነው።,nama gaddisiisa.,General
መጠበቅ!,ba'aa!,General
መጠበቅ.,ala ta'aa.,General
ቶምን ግደሉ.,toomii ajjeesi.,General
ቶምን ሳም።,toomii dhungadhu.,General
መተው.,dhiisi.,General
ተወኝ.,na dhiisi.,General
እኛን ተወን።,nu dhiisaa.,General
እንሂድ!,haa deemnu!,General
እንሂድ.,haa deemnu.,General
ተመልከት!,of eeggadhaa!,General
አግቢ ኝ.,na fuudhi.,General
ልሂድ?,deemuu danda'aa?,General
ጥሩ ሙከራ.,nice try.,General
አሁን አቁም!,amma dhaabadhaa!,General
ሩጥ.,baqadhaa.,General
ቶምን አስቀምጥ.,toomii baraaruu.,General
ምን አልክ?,maal jedhaa?,General
መጣች.,isheenis dhufte.,General
ሞተች።,duute.,General
ሄደች።,isheenis deemte.,General
ትሮጣለች።,isheen fiigdi.,General
ተቀመጥ!,taa'aa!,General
ተቀመጥ.,taa'aa.,General
እዚህ ተቀመጥ.,as taa'aa.,General
ተናገር!,dubbadhu!,General
ማፍጠን.,saffisaa.,General
ቁም.,dhaabadhaa.,General
ቶምን አቁም.,toom irraa dhaabbadhu.,General
ቶም ይውሰዱ.,toomii fudhadhu.,General
ቅመሱት።,dhandhamaa.,General
ለቶም ንገረው።,toomitti himaa.,General
አስፈሪ!,naasisaa!,General
አሸንፈዋል።,injifatan.,General
ቶም መጣ.,toom dhufe.,General
ቶም ሞተ።,toom ni duʼe.,General
ቶም አወቀ።,toom ni beeka ture.,General
ቶም ወጣ።,toom ni deeme.,General
ቶም ዋሸ።,toom sobe.,General
ቶም ይዋሻል።,toom soba.,General
ቶም ጠፋ።,toom ni mo'ame.,General
ቶም ተከፍሉዋል.,toom kaffaltii kaffale.,General
ቶም ሄደ.,toom deeme.,General
ቶም ተነስቱዋል።,toom ol ka'eera.,General
በጣም ረፍዷል.,yeroon isaa darbeera.,General
ይንኩት።,tuqaa.,General
እመነኝ!,na amanaa!,General
እመነኝ.,na amanaa.,General
ጥቂት ይሞክሩ።,tokko tokko yaali.,General
ይህን ይሞክሩ።,kana yaalaa.,General
ይህንን ተጠቀም።,kana fayyadamaa.,General
ቶም አስጠንቅቅ.,toom akeekkachiisi.,General
ተመልከተኝ.,na ilaalaa.,General
ይጠብቁን።,nu daawwadhaa.,General
እንስማማለን.,walii galle.,General
እንሄዳለን.,ni deemna.,General
ደህና ነን።,tole jennee jirra.,General
ለምን?,maaliif?,General
እንዴት ደስ ይላል!,akkam nama gammachiisa!,General
ማነኝ?,ani eenyu?,General
ማን መጣ?,eenyutu dhufe?,General
ማን ሞተ?,eenyuutu du'e?,General
ማን ወደቀ?,eenyuutu kufe?,General
ማን ጠፋ?,eenyuutu mo'ame?,General
ማን ከፈለ?,eenyutu kaffale?,General
ማን አቆመ?,eenyuutu dhiise?,General
ማነው እሱ?,inni eenyu?,General
ፃፍልኝ.,naaf barreessi.,General
ተሸነፍክ.,ati mo'amte.,General
ካንተ በኹዋላ።,si booda.,General
አላማ እሳት!,kaayyoo. abidda!,General
አርፍጃለሁ?,harkifadheeraa?,General
መልስልኝ.,naaf deebisaa.,Education
ታማኝ ሁን.,dhugaa dubbadhu.,General
ተቀመጡ።,taa'aa.,General
በርቱ።,jabaadhu.,General
ወፎች ይበርራሉ.,simbirroonni balali'u.,General
ይባርክህ.,isin eebbisaa.,General
ወደ ቤት ይደውሉ!,manatti bilbilaa!,General
ተረጋጋ!,tasgabbaa'aa!,General
ተረጋጋ.,tasgabbaa'aa.,General
መሄድ እንችላለን?,deemnee ni dandeenyaa?,General
ቶምን ይያዙ።,toomii qabadhu.,General
ያዙት።,isa qabadhaa.,General
ተርጋጋ.,chill out ta'aa.,General
ምረጡኝ።,na filadhaa.,General
ተመልሰዉ ይምጡ.,deebi'aa koottaa.,General
እዚህ ይምጡ.,as kottu.,General
ኧረ በናትህ.,kottaa gara biraatti.,General
ቶሎ ና.,yeroo dhiyootti kottaa.,General
ረጋ በይ.,qabbanaa'aa.,General
አሸነፍኩ እንዴ?,injifadheeraa?,General
አሁን ያድርጉት።,amma hojjedhu.,General
ውሾች ይጮሃሉ።,saroonni ni boo'u.,General
አትጠይቅ።,hin gaafatinaa.,General
አታልቅስ.,hin boo'inaa.,General
አትሙት።,hin du'inaa.,General
አትዋሽ።,hin sobin.,General
አትሩጡ።,hin fiigin.,General
ይቀርታ.,dhiifama.,General
ይቀርታ?,dhiifama?,General
ድንቅ!,baay'ee dinqii!,General
ይህን ተሰማዎት።,kun sitti dhagahama.,General
ይህን ፊልም.,filmii kana.,General
ተከተለኝ.,na hordofaa.,General
ተከተሉን.,nu hordofaa.,General
እርሳው!,irraanfadhu!,General
እርሳው.,irraanfadhu.,General
ረሳኝ.,na dagadhu.,General
ሥራ ማግኘት.,hojii argadhu.,General
ሂድ።,itti fufi.,General
ይዘጋጁ.,qophaa'aa.,General
በፍጥነት ይሂዱ።,saffisaan deemi.,General
ለእሱ ይሂዱ.,itti deemi.,General
ሂድ ውሰድ።,deemi fudhadhu.,General
ወደ ውስጥ ግባ።,keessa seeni.,General
ወደ አልጋህ ሂድ.,gara ciisichaa deemi.,Health/Medical
መልካም ምኞት.,carraa gaarii.,General
ያንን ያዙት።,sana qabadhu.,General
ይህን ያዙ።,kana qabadhu.,General
እጅ ወጣ።,harka irraa fagaatee.,General
ጥቂት ይኑርህ።,tokko tokko qabaadhaa.,General
ታሙዋል።,dhukkubsataa jira.,General
እሱ አርጅቱዋል።,dulloomeera.,General
እሱ ዲጄ ነው።,inni dj dha.,General
እሱ ጥሩ ነው።,inni gaarii dha.,General
ሰነፍ ነው።,inni dadhabaadha.,General
እሱ የኔ ነው.,inni kan kooti.,General
ሀብታም ነው።,inni sooressaa dha.,General
እሱ ሴሰኛ ነው።,inni sexy dha.,General
ወደ ምስራቅ ይሂዱ.,gara bahaatti qajeela.,General
ወደ ምዕራብ ይሂዱ።,gara dhihaatti qajeela.,General
እዚህ ነኝ.,kunoo ani.,General
$5 እነሆ።,kunoo $5.,General
እሳት ያዝ።,ibidda qabadhaa.,General
ይህን ያዝ።,kana qabadhaa.,General
እንዴት አስከፊ ነው!,akkam nama suukanneessa!,General
እንዴት ነው?,akkam ta'aa?,General
እንዴት ይገርማል!,akkam ajaa'iba!,General
ቶም እንዴት ነው?,toom akkam jira?,General
አስቂኝ ቶም.,qoosaa toom.,General
ቀዝቃዛ ነኝ.,ani qabbanaa'eera.,General
ሰላም ነንግ.,ani gaarii dha.,Government
እኔ እዚህ ነኝ.,ani as jira.,General
ደህና ነኝ,ani tole jedheen jira.,General
አሞኛል.,ani dhukkubsadheera.,General
ደካማ ነኝ።,ani dadhabaadha.,General
እለምንሃለሁ.,siin kadhadha.,General
ብልጭ ድርግም አልኩኝ።,anis ija koo jaamse.,General
መብረር እችላለሁ.,balali'uu nan danda'a.,General
መሮጥ እችላለሁ።,fiiguun danda'a.,General
በበረዶ መንሸራተት እችላለሁ።,iskii gochuu nan danda'a.,General
አጭበረበርኩ።,gowwoomse.,General
ደስ አለኝ።,jedheen gammade.,General
ተበላሽቻለሁ።,kufeen kufe.,General
ደነገጥኩኝ።,anis ni rifadhe.,General
ተነፈስኩ።,hafuura baafadhe.,General
ራሴን ሳትቼ ቀረሁ።,anis of wallaalee.,General
ፊቴን ጨፈርኩ።,jedheen fuula koo rurrukute.,General
ተስፋ ቆረጥኩ.,abdii kenne.,General
ሳቅኩኝ።,jedheen qoosaa.,General
እሰጣለሁ.,ani harka kenna.,General
ተሸንፌአለሁ.,abdii nan kenna.,General
ተደስቻለሁ።,jedheen gammade.,General
ተሞቅሁ።,ho'een ture.,General
ፈገግ አልኩኝ።,jedheen qoonqa.,General
አቃሰተኝ።,jedheen boo'e.,General
አጉረመረምኩ።,jedheen gungumaa.,General
ተዝናናሁ።,bashannanaan ture.,General
እጠላዋለሁ.,ani jibba.,General
አለኝ.,ani qaba.,General
ቶምን መታሁት።,toom rukute.,General
እንደዛ ነው ተስፋዬ.,akkasuma jedheen abdadha.,General
ቸኮልኩ።,anis ariifadheen.,General
ተነፈስኩ።,anis hafuura baafadhe.,General
አውቀው ነበር.,ani beeka ture.,General
እወደዋለሁ.,natti tola.,General
አጣሁት።,nan dhabe.,General
በጣም እወደዋለሁ!,ani baay'een jaalladha!,General
በጣም እወደዋለሁ.,ani baay'een jaalladha.,General
የምሬን ነው!,jechuu kooti!,General
የምሬን ነው.,jechuu kooti.,General
መሄድ አለብኝ.,deemuu qaba.,General
ያስፈልገኛል.,na barbaachisa.,General
አስተዉያለሁ.,anis hubadheera.,General
ቅድመ ክፍያ ፈጸምኩ።,dursee kaffaleera.,General
ቃል እገባለሁ.,waadaa nan gala.,General
ዘና አልኩኝ።,boqodhe.,General
ጡረታ ወጣሁ።,soorama ba'e.,General
አይደለም አልኩት።,lakki jedheen.,General
አልኩት።,anis akkas jedheen.,General
ቶምን አየሁ።,toomiin argeera.,General
አየሁት።,isa argeera.,General
አንዱን አየሁ።,tokko argeera.,General
አየሁህ.,si argeera.,General
ቶም አየዋለሁ።,toomii nan arga.,General
እየተመለከትኩህ ነው.,siin arga.,General
ጮህኩኝ።,jedheen iyye.,General
ተቸገርኩ።,anis gufadhe.,General
አፋለገዋለው.,ani barbaada.,General
ታምሜ ነበር።,dhukkubseen ture.,General
አዲስ ነበርኩ።,ani haaraa ture.,General
ነቃሁ።,hirribaa dammaqe.,General
እስማማለሁ ።,aniis walii gala.,General
እተወዋለሁ።,silaa nan deema ture.,General
እደውላለሁ።,bilbila.,General
እመጣለሁ።,ani nan dhufa.,General
አብስላለሁ።,ani nyaata bilcheessa.,General
እረዳለሁ.,ani nan gargaara.,General
እኖራለሁ።,jiradha.,Education
እታዘዛለሁ።,ani nan ajajama.,General
እሸከማለሁ,ani paakkii godha.,General
አልፋለሁ።,nan darba.,General
አቁዋርጣለሁ።,ani nan dhiisa.,General
እዘምራለሁ።,nan sirba.,General
እቆያለሁ።,ani nan hafa.,General
አቆማለሁ።,ani nan dhaaba.,General
እዋኛለሁ።,ani dambalii.,General
እናገራለሁ.,nan haasa'a.,General
እጠብቃለሁ።,ani nan eega.,General
እራመዳለሁ.,ani nan deema.,General
እሰራለሁ።,ani nan hojjedha.,General
እኔ ሊዮ ነኝ።,ani leo dha.,General
ፖሊስ ነኝ።,ani poolisiidha.,Government
እኔ ወንድ ነኝ.,ani dhiira.,General
በ ሕይወት አለሁ.,ani lubbuun jira.,Religion
የኔ ቆንጆ ወንድሜ.,kophaa kooti.,General
ተናድጃለሁ።,ani aareera.,General
ታጥቄያለሁ።,hidhadheera.,General
ነቅቻለሁ።,dammaqeen jira.,General
አይነ ስውር ነኝ።,ani jaamaa dha.,General
ደፋር ነኝ።,ani jabaadha.,General
ተበላሽቻለሁ።,ani cabeera.,General
እብድ ነኝ።,ani maraadheera.,General
ተፈወስኩኝ።,ani fayyeera.,General
ቆሽሻለሁ።,ani xuraa'eera.,General
አዞኛል,marsaan natti mar'ata.,General
ሰክራለሁ።,machaa'eera.,General
እየሞትኩ ነው.,du'aa jira.,Religion
ቀድሜ ነኝ።,dafee dhufeera.,General
አንደኛ ነኝ።,ani dursee jira.,General
ተበሳጨሁ።,ani fussy dha.,General
እያሄድኩ ነው.,ani deema.,General
ታማኝ ነኝ።,ani amanamaa dha.,General
እድለኛ ነኝ.,carraa qaba.,General
እየዋሸሁ ነው።,ani soba.,General
ራቁቴን ነኝ።,qullaa kooti.,General
ችግረኛ ነኝ።,ani rakkadheera.,General
ዝም አልኩኝ።,callisee jira.,General
እኔ ተዘጋጅቻለሁ!,qophaa'eera!,General
እኔ ተዘጋጅቻለሁ.,qophaa'eera.,General
ትክክል ነኝ.,sirriitti dubbadheera.,General
አጭር ነኝ።,ani gabaabaa dha.,General
ጨዋ ነኝ።,ani sober dha.,General
አዝናለሁ.,dhiifama.,General
ተጣብቄያለሁ።,ani qabamee jira.,General
ፈሪ ነኝ።,ani sodaadheera.,General
ደክሞኛል.,dadhabeen jira.,General
ጠንካራ ነኝ።,ani cimaadha.,General
የ አንተ፣ የ አንቺ ነንግ.,ani kan keeti.,General
ጠፍቻለሁ።,dhabeera.,General
ቶም ደህና ነው?,toom ok qabaa?,General
ቶም ገብቱዋል?,toom keessa jiraa?,General
መጥፎ ነው?,hamaadhaa?,General
ሩቅ ነው?,fagoodhaa?,General
ሞቃት ነው?,ho'aadhaa?,General
አንተ ነህ?,sidhaa?,General
ተቃጠለ።,gubate.,General
አልተሳካም።,ni fashalaa'e.,General
ፈሰሰ።,dhangala'e.,General
በረዶ ወረደ።,qorroon ni roobe.,General
ይሸታል.,ni urgooftuu.,General
ደህና ነበር።,ok ture.,General
ሰራ።,hojjete.,General
3፡30 ነው።,sa'aatii 3:30 ta'eera.,General
8፡30 ነው።,sa'aatii 8:30 ta'eera.,General
ቲቪ ነው።,tv dha.,General
ቀዝቃዛ ነው.,qorqorroodha.,General
ጨለማ ነው.,dukkana ta'eera.,General
ሞቱዋል።,du'eera.,General
ተፈጸመ.,raawwateera.,General
ቀላል ነው.,salphaa dha.,General
ምግብ ነው።,nyaata dha.,General
ነፃ ነው.,bilisaa dha.,General
ሞልቱዋል።,guutee jira.,General
ከባድ ነው።,nama ulfaataadha.,General
እዚህ ነው.,kunoo jira.,General
የሱዋ ነው።,kan isheeti.,General
ረፍዷል.,yeroon isaa darbeera.,General
ጠፍቱዋል።,badee jira.,General
የእኔ ነው.,kan kooti.,General
ክፍት ነው።,banaadha.,General
የኛ ነው።,kan keenya.,General
ደህንነቱ የተጠበቀ ነው።,nageenya qaba.,General
አሸዋ ነው።,cirracha dha.,General
ሰአቱ ደረሰ.,yeroon isaa amma.,General
እውነት ነው!,dhugaadha!,Religion
ስራ ነው።,hojiidha.,General
ወደ ታች ይዝለሉ.,gadi utaalaa.,General
ከዚህ አርቀው.,fageessaa.,General
ወደኹዋላ ቀጥል.,duubatti deebi'aa.,General
ረጋ በይ.,tasgabbaa'aa.,General
ተረጋጋ.,qabbanaawaa ta'aa.,General
ያንን አቆይ።,sana eegi.,General
አስቀምጣቸው።,isaan eegaa.,General
ይህንን አቆይ።,kana eegi.,General
ሙቀትህን ጠብቅ.,ho'isaa.,General
ግደላቸው።,isaan ajjeesaa.,General
ከቶም ተወው.,toomii dhiisaa.,General
ይሁን በቃ.,haa ta'u.,General
ተወው ይሂድ.,haa deemu.,General
አስኪ ለሂድ!,na gadhiisi!,General
አስኪ ለሂድ.,mee naaf dhiisaa.,General
አስገባኝ.,mee na galchaa.,General
እንጠይቅ።,mee haa gaafannu.,General
እንብላ.,haa nyaannu.,Agriculture
እስኪ እናያለን.,mee haa ilaallu.,General
ዝም ብለህ ተኛ።,ciisi.,General
ራቅ ብለህ ተመልከት።,gara biraa ilaalaa.,General
ወደኹዋላ ተመልከት!,mee of duuba deebi'aa ilaalaa!,General
ወደኹዋላ ተመልከት.,mee of duuba deebi'aa ilaalaa.,General
እዚ እዩ።,as ilaalaa.,General
ተፈታ።,hiikkaadhu.,General
ተሻገሩ።,gara irra socho'aa.,General
ምርጥ አላሚ!,dhukaasa bareedaa!,General
እርግጥ ነው!,eeyyee kaa!,General
እርግጥ ነው.,eeyyee kaa.,General
እባካችሁ!,yaa maaloo!,General
ይቅርታ አርግልኝ?,dhiifama naaf godhaa?,Religion
ይህን አንብብ።,kana dubbisaa.,Agriculture
እዚህ አርፉ።,asirratti boqodhu.,General
"""አህ"" በል።","""aah"" jedhi.",General
ሰላም በል።,akkam nagaa jedhaa.,Government
ከላይ ይመልከቱ.,armaan olitti ilaalaa.,General
ከስር ተመልከት.,armaan gaditti ilaalaa.,General
ያዙት!,isa qabadhaa!,General
ከምር?,isa dhugumaa?,General
አለቀሰች።,isheenis boosse.,General
ሞከረች።,isheenis yaalte.,General
ትሄዳለች።,isheenis deemti.,General
ሞቃት ነች።,isheen ho'aa jirti.,General
እዚህ ይመዝገቡ።,asirratti mallatteessi.,General
ይህንን ይፈርሙ።,kana mallatteessi.,General
ዝም ብለህ ተቀመጥ።,taa'i.,General
አጥብቀህ ተቀመጥ።,cimsitee taa'i.,General
ፍጥነት ቀንሽ!,suuta jedhii!,General
ፍጥነት ቀንሽ.,suuta jedhii.,General
አሁን ጀምር.,amma jalqabi.,General
ራቁ።,fageenyaa.,General
