Amharic,Oromo,domain
ጥያቄ አለኝ።,gaaffiin qaba.,Education
ይህን ማድረግ አለብኝ።,kana gochuun qaba.,General
ትንሽ ቀዝቃዛ ነው።,xiqqoo qorra.,General
በጣም ውድ ነው።,garmalee qaala'aa dha.,General
የማይቻል አይደለም።,kan hin danda'amne miti.,General
በጣም ያልተለመደ አይደለም።,akkas waan hin baratamne miti.,General
ያ እውነት ሊሆን አይችልም።,sun dhugaa ta'uu hin danda'u.,Religion
እነዚህ ቃላት አይደሉም።,kun jechoota miti.,General
ጓደኞቼ ናቸው።,isaan hiriyyoota kooti.,General
ይህ ለእርስዎ አይደለም።,kun siif miti.,General
ይህ በጣም አስደሳች ነው።,kun baay'ee nama gammachiisa.,General
ቶም መጓዝ ይወዳል።,toom imala ni jaallata.,General
ቶም የተገረመ ይመስላል።,toom waan ajaa'ibsiifate fakkaata.,General
ቶም በጣም በፍጥነት ይናገራል።,toom garmalee saffisaan dubbata.,General
አብረን እንሰራለን።,waliin hojjenna.,General
ያንን አያስፈልገዎትም።,sana si hin barbaachisu.,General
ጥቂት ጓደኞች አሉት።,hiriyyoota muraasa qaba.,General
ይህ እንዴት ይቻላል፧,kun akkamitti danda'ama?,General
ክብደት ጨምሬያለሁ።,ulfaatina qaamaa dabaleera.,General
በጣም እወድሃለሁ።,baay'een si jaalladha.,General
መተኛት አለብኝ።,rafuu qaba.,General
መቼም ተስፋ አልቆርጥም።,yoomiyyuu abdii hin kutadhu.,General
ልስምሽ እፈልጋለሁ።,si dhungachuu barbaada.,General
ዛሬ በጣም ሞቃት ነው።,har'a baayyee ho'aa jira.,General
ማንም ፍላጎት የለውም።,namni fedhii qabu hin jiru.,General
በሩ አይዘጋም።,balballi hin cufamu.,General
ሌላ መንገድ አለ።,karaan biraa jira.,General
ቶም ኢንሹራንስ የለውም።,toom inshuraansii hin qabu.,Business/Economy
ዛሬ ማታ ነው።,halkan har'aa halkan.,General
ነገ እንሄዳለን።,boru deemna.,General
ዶክተር አይደለህም።,ati doktora miti.,Health/Medical
ይህንን መኪና መጠቀም ይችላሉ።,konkolaataa kana fayyadamuu dandeessu.,General
እሱ ትንሽ ገንዘብ አለው።,maallaqa xiqqoo qaba.,Business/Economy
በቅርቡ ይመለሳል።,yeroo dhiyootti ni deebi'a.,Health/Medical
እኔ እዚህ ንግድ ላይ ነኝ።,ani hojiif as jira.,Business/Economy
ትንሽ ትኩሳት አለኝ።,ho'a qaamaa xiqqoo qaba.,Health/Medical
ስቴክ መብላት እፈልጋለሁ።,isteekii nyaachuu barbaada.,General
አደገኛ ሊሆን ይችላል።,balaa geessisuu dandaʼa.,General
ዛሬ በጣም ቀዝቃዛ ነው።,har'a baayyee qorra.,General
ዛሬ ጥሩ ቀን ነው።,har'a guyyaa gaarii dha.,General
ማንም እንዲህ አይልም።,namni akkas jedhu hin jiru.,General
ዋጋ ጉዳይ አይደለም።,gatiin dhimma miti.,Business/Economy
እሳቱ ጠፍቱዋል።,ibiddi dhaameera.,General
ሁሉም አንድ ናቸው።,hundi isaanii tokko.,General
ሁሉንም ነገር እንፈልጋለን።,waan hunda nu barbaachisa.,General
በጣም ቆንጆ ነሽ።,baayyee bareedduudha.,General
ሁላችንም ፈረንሳይኛ እንናገራለን።,hundi keenya afaan faransaayii dubbanna.,General
በእሁድ ቀን እንኳን እሰራለሁ።,wiixata illee nan hojjedha.,General
ፈረንሳይኛ መማር አለብኝ።,afaan faransaayii barachuun qaba.,Education
ላየው እፈልጋለሁ።,arguu barbaada.,General
ጥቂት ጓደኞች አሉኝ።,hiriyyoota muraasa qaba.,General
በሩ አይከፈትም።,balballi hin banamu.,General
ይህ ሆስፒታል አይደለም።,kun hospitaala miti.,Health/Medical
ቶም እርዳታ ያስፈልገዋል።,toom gargaarsa barbaada.,General
ቶም ከዳተኛ ሊሆን ይችላል።,toom gantuu ta'uu danda'a.,General
ነገ የእረፍት ቀኔ ነው።,boru guyyaa boqonnaa kooti.,General
ስራህ ምንድን ነው፧,hojiin kee maali?,General
ስራ እየፈለገ ነው።,hojii barbaadaa jira.,General
ብዙ ጓደኞች አሉኝ።,hiriyyoota baay'een qaba.,General
እግር ኳስ መጫወት እወዳለሁ።,kubbaa miilaa taphachuu nan jaalladha.,General
አሁን ያንን ማድረግ እፈልጋለሁ።,amma akkas gochuun barbaada.,General
ማግባት እፈልጋለሁ።,heerumuun barbaada.,General
በእግር መሄድ እፈልጋለሁ።,miillaan deemuun barbaada.,General
የግድ እንደዚያ አይደለም።,akkas ta'uun dirqama miti.,General
ገንዘብ ሁሉም ነገር አይደለም።,maallaqni waan hunda miti.,Business/Economy
ማንም አያምናችሁም።,namni si amanu hin jiru.,General
አንድ ሰው ስጦታ ልኮልናል።,namni tokko kennaa nuuf erge.,General
ያ ችግር ሊሆን ይችላል።,sun rakkoo ta'uu danda'a.,General
ያ በጣም የሚያምር አይደለም።,sun baayyee bareedaa miti.,General
ይህ በር አይከፈትም።,balballi kun hin banamu.,General
ይህ ማንጎ ጣፋጭ ነው።,maangoon kun mi'aawaa dha.,Agriculture
ይህ ክፍል በጣም ትልቅ ነው።,kutaan kun baayyee guddaadha.,Education
ውሻ እና ድመት አለን።,saree fi saree qabna.,General
ፍጹም ትክክል ነህ።,ati guutummaatti sirrii dha.,General
ጥንቸሎች መዋኘት ይችላሉ፧,kanniisni dambalii ni danda'aa?,General
ሁሉም ሰው ስሙን ያውቃል።,maqaa isaa hunduu ni beeka.,General
ሁሉም ሰው ይህን ማድረግ አለበት።,namni hundi akkas gochuu qaba.,General
ምንም እዳ የለብኝም።,ani homaa irraa liqii hin qabu.,Business/Economy
እናቴን መርዳት አለብኝ።,haadha koo gargaaruun qaba.,General
መተኛት አልችልም።,rafuu hin danda'u.,General
መጽሀፍ መጻፍ እፈልጋለሁ።,kitaaba barreessuu barbaada.,General
ሚስት እና ልጆች አሉኝ።,haadha manaa fi ijoollee qaba.,General
ለአንድ ሰው መንገር አለብኝ።,nama tokkotti himuun qaba.,General
ያ በጣም ጣፋጭ ነው።,sun baay'ee sitti mi'aawaadha.,General
ብዙ ውሃ አለ።,bishaan baay'eedha.,General
ምንም መፍትሄ የለም።,furmaanni hin jiru.,General
ይህ አልማዝ እውን አይደለም።,daayimandi kun dhugaa miti.,General
በሚቀጥለው ወር እንጓዛለን።,ji'a dhufu socho'aa jirra.,General
በአንድ ጊዜ መጀመር አለብን።,al tokkotti jalqabuu qabna.,General
ስራውን ትወስዳለህ፧,hojii sana ni fudhatta?,General
ድቦች በጣም አደገኛ ናቸው።,bears baayyee balaa qaba.,General
ሁሉም ሰው ደስታን ይፈልጋል።,namni hundi gammachuu barbaada.,General
ጥሩ ባል ይሆናል።,abbaa manaa gaarii ta'a.,General
ዛሬ ምን ይሰማሃል፧,har'a maaltu sitti dhaga'ama?,General
ወደ ፊልሞች እምብዛም አልሄድም።,yeroo muraasaaf fiilmii ilaala.,General
ገንዘቡን እሰጥሃለሁ።,qarshii siif kenna.,General
ኮሌጅ መሄድ እፈልጋለሁ።,kolleejjii deemuun barbaada.,Education
ወደ መካነ አራዊት መሄድ እፈልጋለሁ።,gara zoo deemuun barbaada.,General
አባቴ ማጨስ አቆመ።,abbaan koo tamboo xuuxuu dhiise.,Religion
ያ የተሳሳተ አሻራ መሆን አለበት።,sun maxxansaa dogoggoraa ta'uu qaba.,General
ጸሀይ ገና አልወጣችም።,aduun hanga ammaatti hin baane.,Religion
ይህ ጥያቄ ቀላል አይደለም።,gaaffiin kun salphaa miti.,Education
ቶም ምንም ነገር የለውም።,toom homaa hin qabu.,General
ቶም ምንም አያውቅም።,toom homaa hin beeku.,General
ያንን አደጋ መውሰድ አለብን።,balaa sana fudhachuu qabna.,General
በስራዬ ረክቻለሁ።,hojii kootti quufeera.,General
በስራ ላይ እስከ አንገቴ ድረስ ነኝ።,hojii irratti hanga morma kootti jira.,General
ምን ማድረግ እንዳለብኝ አውቃለሁ።,waan gochuu qabu nan beeka.,General
ይህንን በር መክፈት አለብኝ።,balbala kana banuun na barbaachisa.,General
ከቶም ጋር መነጋገር እፈልጋለሁ።,toomii wajjin haasa'uu barbaada.,General
ይህን በመስማቴ ደስ ብሎኛል።,kana dhaga'uu kootti gammadeera.,General
በአውቶቡስ መሄድ ርካሽ ነው።,otobusii deemuun gatii salphaadha.,General
በፈረንሳይኛ አልተጻፈም።,afaan faransaayiin hin barreeffamne.,General
አባቴ በአትክልቱ ውስጥ ነው።,abbaan koo iddoo biqiltuu keessa jira.,Religion
ማንም አይጎዳህም።,namni si miidhu hin jiru.,General
አንድ ሳጥን አሁንም ጠፍቱዋል።,sanduuqa tokko ammallee dhabameera.,General
ዝናቡ ወደ በረዶነት ተለወጠ።,roobni gara qorraatti jijjiirame.,General
ሁሉም ነገር በቁጥጥር ስር ነው።,wanti hundi to'annaa jala jira.,Agriculture
ሀሳቤን በፍጹም አልቀይርም።,yoomiyyuu yaada koo hin jijjiiru.,General
እርዳታህን እፈልጋለሁ።,gargaarsa keessan na barbaachisa.,General
ከአንድ ሰው ጋር መነጋገር አለብኝ።,nama tokko waliin haasa'uun qaba.,General
ቤት ውስጥ መቆየት አሰልቺ ነው።,mana turuun nama nuffisiisa.,General
ቶም እንደ እኔ ወጣት አይደለም።,toom akka koo dargaggeessa miti.,General
እሱ በሁሉም ሰው የተከበረ ነው።,nama hundaan kabajama.,General
በቅርቡ አባት ይሆናል።,yeroo dhiyootti abbaa ta'a.,Religion
ለጓደኞቼ አመሰግናለሁ።,hiriyyoota kootiif galata guddaa qaba.,General
ወደ ፊልሞች መሄድ እፈልጋለሁ።,fiilmii ilaaluun barbaada.,General
የተወሰነ ገንዘብ ያስፈልገኛል።,maallaqa tokko tokko na barbaachisa.,Business/Economy
ስለ አንተ እያሰብኩ ነበር።,waa'ee kee yaadaa ture.,General
በጉሮሮዬ ውስጥ እንቁራሪት አለብኝ።,qoonqoo koo keessaa hantuuta qaba.,General
ብዙ ስራ አለብኝ።,hojii baay'een qaba.,General
ወደ ስራ መመለስ አለብኝ።,hojiitti deebi'uun qaba.,General
ቶም በፍቅር ላይ ያለ ይመስላል።,toom jaalalaan waan qabame fakkaata.,Religion
ምንም ትርጉም የለውም።,hiika tokkollee hin qabu.,General
ምን ማድረግ እንዳለብን እናውቃለን።,waan gochuu qabnu ni beekna.,General
የሆነ ቦታ መጀመር አለብን።,bakka tokko irraa jalqabuu qabna.,General
ከእንግዲህ ልጅ አይደለህም።,kana booda ati daa'ima miti.,General
ለልጆቼ አመሰግናለሁ።,ijoollee kootiif galata guddaa qaba.,General
ቶም አሁንም ስራ እንደበዛበት አውቃለሁ።,toom ammallee hojiin akka itti baay'atu nan beeka.,General
የወንድ ጓደኛህ መሆን እፈልጋለሁ።,jaalallee kee ta'uu nan barbaada.,General
ይቅርታ አልገባኝም።,"dhiifama, naaf hin galle.",Religion
ሁሉም ነገር ስለ ገንዘብ አይደለም።,wanti hundi waa'ee maallaqaa miti.,Business/Economy
ለእርዳታዎ እናመሰግናለን።,gargaarsa nuuf gootaniif galatoomaa.,General
ሌላ ማብራሪያ የለም።,ibsi biraa hin jiru.,General
ቶም በግራ እጁ ይጽፋል።,toom harka bitaatiin barreessa.,Agriculture
ለመተባበር ደስተኞች እንሆናለን።,tumsuu keenyatti gammadna.,General
በህልም ውስጥ የሆንኩ ያህል ተሰማኝ።,akka waan abjuu keessa jiruutti natti dhaga'ame.,General
ቶም በፈረንሳይኛ በጣም ጥሩ አይደለም።,toom afaan faransaayii irratti baay'ee hin ga'u.,General
በዚህ ላይ እኔን ማመን አለብህ።,kana irratti na amanachuu qabda.,General
ስለሱ ምንም ጥርጥር የለኝም።,ani shakkii tokkollee hin qabu.,General
እንደገና ጓደኛሞች እንድንሆን እፈልጋለሁ።,ammas hiriyyaa akka taanu nan barbaada.,Religion
እየሞቀ እና እየሞቀ ነው።,ho'aa fi ho'aa dhufeera.,General
ይህንን ጥያቄ ማንም ሊመልስ አይችልም።,gaaffii kana eenyullee deebisuu hin danda'u.,Education
ሂሳቡ ዛሬ መከፈል አለበት።,kaffaltiin har'a kaffalamuu qaba.,General
ዶክተሩ አሁን አይገኝም።,doktarri amma hin jiru.,General
በዚህ ካሜራ ውስጥ ምንም ፊልም የለም።,kaameeraa kana keessa fiilmiin hin jiru.,General
ምንም የሚያስፈራ ነገር የለም።,wanti sodaatamu hin jiru.,General
ዛሬ ያንን ማድረግ የለብዎትም።,har'a akkas gochuun si hin barbaachisu.,General
በጣም ጥሩ ማህደረ ትውስታ አለዎት።,yaadannoo baayyee gaarii qabda.,General
በጥሩ አካላዊ ሁኔታ ላይ ነው።,haala qaamaa gaarii keessa jira.,General
ለእርዳታዎ በጣም አመስጋኝ ነኝ።,gargaarsa keessaniif baay'een galateeffadha.,General
ስለዚህ ጉዳይ የበለጠ መስማት እፈልጋለሁ።,waa'ee kanaa caalaatti dhaga'uu barbaada.,General
እንደዚያ ቀላል አይደለም።,akkasitti salphaa miti.,General
በዚህ እርጥብ የአየር ጠባይ ጠግቤያለሁ።,haala qilleensaa jiidha qabu kanaan quufeera.,General
ተጨማሪ ገንዘብ እፈልጋለሁ።,maallaqa dabalataa na barbaachisa.,Business/Economy
ከሆቴሉ ብዙም አይርቅም።,hoteela irraa fagoo miti.,General
ዛሬ ለሽርሽር በጣም ቀዝቃዛ ነው።,har'a piknikiidhaaf baay'ee qorra.,General
በድንገት ሁሉም መብራቶች ጠፉ።,akka tasaa ibsaan hundi ni dhaame.,General
ችግሩ ሊታለፍ የማይችል አይደለም።,rakkoon jiru kan hin danda'amne miti.,General
በጠረጴዛው ላይ መዝገበ-ቃላት አለ።,deeskii irratti galmee jechootaa tokkotu jira.,General
ከጸሀይ በታች ምንም አዲስ ነገር የለም።,aduu jalatti wanti haaraan hin jiru.,General
ቶም የገና ስጦታዎችን ልኮልናል።,toom kennaa ayyaana masqalaa nuuf erge.,Religion
ጭጋግ በቅርቡ እንደሚነሳ ተስፋ አደርጋለሁ።,awwaarichi yeroo dhiyootti akka ka'u abdiin qaba.,General
ቶም አሁንም ተኝቱዋል ብዬ አስባለሁ።,toom ammallee rafaa jira jedheen yaada.,General
ያንን ፊልም እንደገና ማየት እፈልጋለሁ።,fiilmii sana irra deebi'ee ilaaluun barbaada.,Religion
በአረጋውያን ዘንድ ተወዳጅ ነው።,maanguddoota biratti jaallatamaadha.,General
ውሳኔው እስካሁን አልተወሰነም።,murteen kun hanga ammaatti hin murtoofne.,Government
የበጋ እረፍት የሚጀምረው በሀምሌ ወር ነው።,boqonnaan gannaa ji'a july keessa jalqaba.,Agriculture
ቶም ማርያም ይህን ማድረግ እንዳለባት ያውቃል።,toom maariyaam akkas gochuu akka qabdu beeka.,Religion
ቶም ከእኔ የበለጠ ጠንካራ እንደሆነ ያስባል።,toom na caalaa cimaa natti fakkaata.,General
እዚህ ሁሉም ሰው ሁሉንም ያውቃል።,namni as jiru hundi nama hunda ni beeka.,General
በገና ሁሉም ሰው ቤት ይሆናል።,yeroo ayyaana masqalaa namni hundi mana ta'a.,Religion
ያ ከአሁን በኹዋላ አስፈላጊ አይደለም።,sun kana booda dhuguma barbaachisaa miti.,General
ህጉ በዚህ ጉዳይ ላይ አይተገበርም።,seerri dhimma kana irratti raawwatiinsa hin qabu.,General
ከዋክብት በሰማይ ውስጥ ብልጭ ድርግም ብለው ነበር።,urjiileen samii keessaa balaqqeessa'aa turan.,General
ለማንኛውም ነገር ዝግጁ መሆን አለብን።,waan kamiifuu qophaa'uu qabna.,General
ከአሁን በኹዋላ ትምህርት ቤት መሄድ አልፈልግም።,kana booda mana barumsaa deemuu hin barbaadu.,Education
አንድ ወንድም እና ሁለት እህቶች አሉኝ።,obboleessa tokkoo fi obboleettii lama qaba.,General
ይህን ደብዳቤ ማን እንደጻፈው ግልጽ አይደለም።,xalayaa kana eenyu akka barreesse ifa miti.,General
ይህ እድል ሊወገድ አይችልም።,carraan kun haaluun hin danda'amu.,General
ቃላቶች እውነተኛ ስሜቴን ሊያስተላልፉ አይችሉም።,jechoonni miira koo isa dhugaa dabarsuu hin danda'an.,General
ልጆቹን አይንከባከብም።,ijoollee isaa hin kunuunsu.,General
ቶም በኹዋላ ይመጣል ብዬ አስባለሁ።,toom booda ni dhufa jedheen yaada.,General
በቶም ምን እንደተፈጠረ ማወቅ እፈልጋለሁ።,toom maal akka ta'e beekuu barbaada.,General
እሱ ሙሉ በሙሉ በወላጆቹ ላይ ጥገኛ ነው።,guutummaatti warra isaa irratti hirkata.,General
እንደዚህ አይነት ባህሪ ተቀባይነት የለውም።,amalli akkasii fudhatama hin qabu.,General
ችግሩ ሊታሰብበት የሚገባ አይደለም።,rakkoon jiru ilaalcha keessa galchuu hin qabu.,General
ይህንን ለማድረግ ቀደም ብለው መነሳት አለብዎት።,kana gochuuf dursitee ka'uu qabda.,Health/Medical
ትንሽ ተጨማሪ ጊዜ እንፈልጋለን።,yeroo xiqqoo dabalataa nu barbaachisa.,General
በዚህ ጠርሙስ ውስጥ ትንሽ ውስኪ አለ።,qaruuraa kana keessa wiiskii xiqqootu jira.,General
መብራቱን ያብሩ። ምንም ማየት አልችልም።,ifa qabsiisi. homaa arguu hin danda'u.,General
በዚህ ክፍል ውስጥ ብዙ የቤት እቃዎች አሉ።,kutaa kana keessa meeshaaleen manaa baay'eedha.,Education
በተቻለ ፍጥነት እንዲያደርጉት እፈልጋለሁ።,daftee akkas akka gootu nan barbaada.,General
ወንድሜ ከእኔ በሶስት አመት ያንሳል።,obboleessi koo waggaa sadii narra xiqqaadha.,Health/Medical
ስህተት አይደለም። ሰነድ የሌለው ባህሪ ነው።,bug miti. amala galmee hin qabneedha.,General
አስቸኳይ የህክምና ቁሳቁስ ፍላጎት አለ።,meeshaaleen yaalaa hatattamaan barbaachisa.,Health/Medical
ይህንን ለማድረግ የተሻለ መንገድ መኖር አለበት።,kana gochuuf karaan fooyya'aan jiraachuu qaba.,General
ቶም ስጦታዎቹን በገና ዛፍ ስር አስቀመጠ።,toom kennaawwan sana muka ayyaana masqalaa jala kaaʼe.,Religion
በአጠቃላይ ሴቶች ከወንዶች የበለጠ ረጅም እድሜ ይኖራሉ።,walumaagalatti dubartoonni dhiirota caalaa umurii dheeraa jiraatu.,Education
ጉዳዩ በእርቅ በመፈታቱ ደስተኛ ነኝ።,dhimmichi karaa nagaa xumuramuu isaatti gammadeera.,General
ሳይንስ ሁሉንም የህይወት ችግሮች አይፈታም።,saayinsiin rakkoo jireenyaa hunda hin furu.,Education
ቶም ድመቱዋ ተመልሶ እንደማይመጣ ተጨንቆ ነበር።,toom sareen isaa gonkumaa akka hin deebine yaadda'e.,General
እኔ እስከ አስራ ሶስት አመቴ ድረስ የማደጎ መሆኔን አላውቅም ነበር።,hanga waggaa kudha sadiitti guddifachaa akkan ta'e hin beeku ture.,General
ልጆቹ በወላጆች መካከል ምን እንደሚፈጠር ይገነዘባሉ።,ijoolleen waan warra gidduutti ta'aa jiru ni hubatu.,General
ብዙ ችግሮች አሉብኝ።,Rakkoo baay'een qaba.,General
ወደ ትምህርት ቤት የምሄድበት ጊዜ አሁን ይመስለኛል።,Yeroon ani mana barumsaa itti deemuu amma natti fakkaata.,Education
ገንዘቡን በአንድ ጊዜ እንድመልስ ጠየቀኝ።,Maallaqa sana al tokkotti akkan deebisu na gaafate.,Education
መከተልህን እንድታቆም እፈልጋለሁ።,Na hordofuu kee akka dhiiftu nan barbaada.,General
ያለፈቃድ ወደ ህንጻው መግባት አይችሉም።,Hayyama malee gara gamoo sanaatti seenuu hin danda'aan.,General
ቶም በተሳሳተ መንገድ ተረድቶኛል።,Toom dogoggoraan na hubateera.,General
ፈረንሳይኛ መማር መጀመር እፈልጋለሁ።,Afaan Faransaayii barachuu jalqabuu nan barbaada.,Education
በማቀዝቀዣው ውስጥ አንዳንድ ቲማቲሞች አሉ።,Timaatima tokko tokko firijii keessa jira.,General
ደግ ልብ አላት።,Onnee arjaa qabdi.,General
ብዙ ችግሮች አሉብኝ።,Rakkoo baay'een qaba.,General
ዛሬ ቤት ውስጥ ከመቆየት ይልቅ የመውጣት ያህል ይሰማኛል።,Har'a mana keessa turuu mannaa ba'uun natti dhagahama.,General
ቶም ቦስተን ውስጥ በሚገኝ የኮምፒውተር ኩባንያ ውስጥ ይሰራል።,Toom dhaabbata kompiitaraa Booston keessatti argamu keessatti hojjeta.,Education
ሳምንታዊ ስብሰባችንን እንዳትረሳ።,Walgahii keenya torban torbaniin taasifnu akka hin daganne.,Government
ይህ ፒያኖ ምናልባት ለአመታት ተስተካክሎ አያውቅም።,Piyaanoon kun tarii waggootaaf sirraa'ee hin beeku.,General
በነገው እለት ከነሱ ጋር ያለውን ችግር እንወያያለን።,Guyyaa boruu rakkoo isaan waliin jiru ni mari'anna.,General
ቃል የገባህልኝ ይህ አይደለም።,Wanti ati waadaa naaf galte kana miti.,General
የምፈልገውን ነገር አገኛለሁ።,Waanan barbaadee nan argadha.,General
እንደ ማስዋቢያ ከላይ አንድ ያድርጉ።,Akka miishaginaatti gubbaa irratti tokko godha.,General
የቶም ባህሪ አበሳጨኝ።,Amalli Toom na aarse.,General
የእኔ የትርፍ ጊዜ ማሳለፊያ ኣሳ ማጥመድ ነው።,Hojiin bohaartii koo qurxummii qabuudha.,Agriculture
በኪስ ቦርሳየ ውስጥ ምንም ተጨማሪ ገንዘብ የለኝም።,Boorsaa xiqqoo koo keessa maallaqni dabalataan hin jiru.,Business/Economy
ይህንን ሂሳብ ዛሬ መክፈል አለብኝ።,Herrega kana har'a kaffaluun qaba.,General
ሌላ ልናደርግልህ የምንችለው ነገር አለ፧,Wanti biraa siif gochuu dandeenyu jiraa?,General
ምንም ተስፋ እንደሌለ እንደምታስብ አውቃለሁ።,Abdiin hin jiru jettee akka yaaddu nan beeka.,Health/Medical
