Amharic,Oromo,domain
ይህንን በተመዘገበ ፖስታ መላክ እፈልጋለሁ።,Poostaa galmaa'ee kana erguu nan barbaada.,Religion
እሱ ፈረንሳይኛ አቀላጥፎ ያውቃል።,afaan faransaayii sirriitti ni beeka.,General
ኮምፒውተሮች የጽሁፍ ስራዎችን በትክክል መተርጎም ይችላሉ፧,kompiitaroonni dhuguma hojiiwwan ogbarruu hiikuu danda'aa?,General
ይህ ይጎዳል፧,kun nama dhukkubsa?,General
ቶም ዋኘው፧,toom dambalii turee?,General
ለዚህ አዲስ ነኝ።,ani kanaaf haaraa dha.,General
መሮጥ ይጠላል።,fiigicha jibba.,General
ይህ ዘይት መቀባት በ 17 ኛው ክፍለ ዘመን ነው።,fakkiin zayitaa kun jaarraa 17ffaa keessa kan hojjetamedha.,General
ይህንን ለማን ገዙት፧,kana eenyuuf bitatte?,General
ምን ያህል አደጋ ውስጥ እንደሚወድቁ ያውቁ ነበር።,balaa hangamii akka isaan mudatan beeku turan.,General
አንተ ብቻ ታድነን,nu oolchuu kan danda'u isin qofa.,General
ወላጆቼ አሁንም የሴት ጓደኛዬን አላገኙም።,warri koo ammallee jaalallee koo waliin wal hin argine.,General
ማን እንደሚያወራ ተመልከት።,eenyu akka dubbatu ilaalaa.,General
ትንሽ ዘና ይበሉ።,yeroo muraasaaf boqodhu.,General
ብዙ ጊዜ ወደ ፊልሞች ትሄዳለህ፧,yeroo baayyee gara fiilmii ni deemtaa?,General
የጥበቃ ተረኛ ነው።,dirqama waardiyyaa irra jira.,Government
ውሻው ሻንጣዋን አሸተተች።,sareen sun mi'a ishee urgaa'e.,General
ከልዩነታችን አንዱ ነው።,adda addaa keenya keessaa isa tokkodha.,General
ቶም ፈረንሳይኛ ተናገረ።,toom afaan faransaayii dubbata ture.,General
እሱዋ በኦርጋኒክ ኬሚስትሪ ትመርጣለች።,muummee barnoota keemistrii orgaanikiitiin baratteetti.,Education
ይህ የብዙዎችን ህይወት ሊያድን ይችላል።,kunis lubbuu namoota hedduu baraaruu danda'a.,General
ቶም የተከፋ ይመስላል።,toom waan mufate fakkaata.,General
ስለ አንተ እና ስለ ቶም ወሬ ሰምቻለሁ።,waa'ee kee fi toomii oduu dhaga'eera.,General
የውጭ ቁዋንቁዋዎችን መማር እንወዳለን።,afaan alagaa barachuu ni jaallanna.,Education
አሜሪካን ማን አገኘው፧,ameerikaa eenyutu argate?,General
አልጠጣም ወይም አላጨስም።,"ani hin dhugu, tamboo hin xuuxu.",General
ዛሬ ማታ በአንተ ቦታ መቆየት እችላለሁ፧,halkan kana bakka keessan turuu danda'aa?,General
ሳጥኑ በማጓጓዝ ጊዜ ተደምስሱዋል እና ይዘቱ ወደ ውጭ ወጣ።,sanduuqni kun yeroo geejjibaa caccabee qabiyyeen isaa balali'ee ba'e.,Health/Medical
ቶም ተፈተነ።,toom qorameera.,General
ወደፊት የሚያልፈው ብዙ መከራዎች ይኖሩታል።,gara fuulduraattis rakkina hedduu keessa darbuu qaba.,Religion
ቶም ብዙውን ጊዜ ልጆቹን እንዲተኛ የሚያደርግ ነው።,yeroo baayyee toom nama ijoollee siree irra ciisudha.,General
ማንም ሰው ሊያደርገው የሚችለውን ብቻ ነው ያደረኩት።,waan namni kamiyyuu godhu qofa hojjedhe.,General
ልደቴን ማክበር አልፈልግም።,guyyaa dhaloota koo kabajuu hin barbaadu.,General
ቶም ሻይ አይጠጣም።,toom shaayii hin dhugu.,Agriculture
የወይን ጠጅ ግድ የለኝም።,wayiniif dhimma hin qabu.,General
ደም በሁሉም ቦታ ነበር።,dhiigni bakka hunda ture.,Health/Medical
ነገ ይህንን እንቀጥል።,borus kana itti haa fufnu.,General
አንድ ክፍል አስቀርታለች።,kutaa tokko qabattee turte.,Education
ሀሳቤን በፍጹም አልቀይርም።,yoomiyyuu yaada koo hin jijjiiru.,General
ዛሬ ብዙ የሚሰራው ስራ አለ።,har'a hojiin hojjetamuu qabu baay'eedha.,General
ብዙ ገንዘብ አለኝ።,maallaqa hedduu qaba.,Business/Economy
በቅርቡ የሆነ ነገር ተከስቱዋል።,dhiheenya kana wanti tokko mudate.,General
እኔ ራሴ ከመሄድ ይልቅ ልጄን እንዲሄድ አደርገዋለሁ።,ofii koo deemuu dhiisee ilma koo akka deemu nan godha.,General
እንግዳ ወይም አጠራጣሪ ነገር አግኝተዋል፧,waan ajaa'ibaa ykn shakkisiisaa ta'e argataniiru?,General
በዚህ ጊዜ ምንም ተጨማሪ ዝርዝር የለንም።,yeroo kanatti ibsa dabalataa hin qabnu.,General
የአየር ሁኔታ ትንበያው ትክክል ነበር።,ragaan haala qilleensaa sirrii ture.,Agriculture
ስለዛ ትክክል ነህ።,waa'ee kanaa sirrii dubbatte.,General
ጣቢያው ላይ አየችው።,buufata sanatti isa argite.,General
ቶም እዚህ ይፈልግሃል።,toom asitti si barbaada.,General
ቶም ይቅር ይላችኹዋል።,toom dhiifama siif godha.,General
ይህ ቅሚያ ነው።,kun saamicha.,General
እርሳሶች አልነበራትም።,qalama tokkollee hin qabdu turte.,General
እጆቻችሁን ከኪሶቻችሁ አውጡ።,harka keessan kiisha keessan keessaa baasaa.,General
የመጀመሪያ ደረጃ እንክብካቤ ሀኪም አለዎት፧,doktara kunuunsa jalqabaa qabduu?,Government
ክብረ በአሉ በአስደናቂ የርችት ትርኢት ተጠናቁዋል።,ayyaanni kun agarsiisa ibiddaa dinqisiisaa ta'een xumurame.,General
በበረዶ መንሸራተት ሄድን።,iskii gochuuf deemne.,General
ቶም በባህር ዳርቻ ላይ የሞተ ጄሊፊሽ አገኘ።,toom qarqara galaanaa irratti jellyfish du'e argate.,General
አንድ ጥያቄ ልጠይቅህ ነው የመጣሁት።,gaaffii si gaafachuuf dhufe.,Education
ባቡሬ ከየትኛው መድረክ ይወጣል፧,Baaburri koo waltajjii kam irraa ba'aa?,Government
አሁን ልቀቁ እና በጭራሽ እንዳትመለሱ።,amma dhiisii yoomiyyuu hin deebi'inaa.,General
አውቶቡሱ ሁልጊዜ በሰአቱ አይመጣም።,yeroo hunda otoobisii yeroon hin dhufu.,General
ምግባሬን ረሳሁት።,amala koo dagadheera.,General
ትንሽ ገንዘብ ብትበደርልኝ አመስጋኝ እሆን ነበር።,osoo maallaqa naaf liqeessuu dandeessee nan galateeffadha.,Business/Economy
በህጉ ነበር የምንጫወተው።,seeraan taphachaa turre.,General
ቶም፣ ምን ችግር አለው፧ የገረጣ ትመስላለህ።,"toom, maaltu ta'e? ati halluu diimaa fakkaatta.",General
የፈረንሳይ ፊልሞችን እወዳለሁ።,fiilmii faransaayii baay'een jaalladha.,General
የምትጸጸትበትን ምንም ነገር አታድርግ።,waan gaabbuu dandeessu hin hojjetin.,General
ቶም መጻፉን ቀጠለ።,toom barreessuu itti fufe.,General
መቼ ነው ወደ አውሮፓ የምትሄደው፧,yoom gara awurooppaa deemta?,General
ሰዎች ራሳቸውን ማስታጠቅ ጀምረዋል።,namoonni hidhachuu eegalaniiru.,General
ለምን ለእግር ጉዞ አንሄድም፧,maaliif deemsa hin deemnu?,General
ይህን ነው ማድረግ የምፈልገው።,kana gochuun barbaada.,General
ለአገሬ ብዙ መስዋእትነት ከፍያለሁ።,biyya kootiif wareegama hedduu kaffaleera.,General
በምትኩ ሰኞ ላይ ማድረግ እንችላለን፧,kanaa mannaa isniina gochuu dandeenyaa?,General
ሁላችንም እዚህ ያለን ይመስላል።,hundi keenya as jirra fakkaata.,General
ይህን በማድረጌ ታግጃለሁ።,akkas gochuu kootiin hojii irraa ari'ame.,General
ምስሉ ብዙ ትዝታዎችን አምጥቱዋል።,suuraan kun yaadannoo hedduu deebisee fide.,General
የገረመኝ እሱ ያቀረብኩትን እምቢ አለ።,"kan na ajaa'ibe, inni naaf dhihaate dide.",General
ይህን እንዴት ያውቃል፧,akkamitti akkas beeka?,General
ያ ጊታር በጣም ውድ ካልሆነ ልገዛው እችል ነበር።,giitaarri sun osoo akkas qaala'aa ta'uu baatee bitachuu nan danda'a ture.,General
በጣም ብዙ አይደለም።,baay'ee miti.,General
ብዙ ጊዜ አላጠፋሁም።,yeroo baay'ee hin dhabne.,General
ወንድሜ በጣም ያጨሳል።,obboleessi koo baay'ee tamboo xuuxa.,Health/Medical
ምን ማድረግ እንዳለብኝ ሳላውቅ እርዳታ ጠየቅሁ።,waan godhu waanan hin beekneef gargaarsa gaafadhe.,General
ዜናው ጥርጣሬዬን አረጋግጧል።,oduun kun shakkii koo mirkaneesse.,General
ሁሉንም አላነበብኩትም።,hundaa isaa hin dubbisne.,General
ሁሌም ያንን ስህተት ትሰራለህ።,yeroo hunda dogoggora sana ni hojjetta.,General
ህጎች አሉ፧,seerri jiraa?,General
መንገድ ላይ አትጫወት።,daandii irratti hin taphatinaa.,General
ያ ደደብ አይመስለኝም።,sun gowwummaa natti hin fakkaatu.,General
ያ መኪና በጣም አዲስ ነው።,konkolaataan sun baayyee haaraa dha.,General
ሁሉም ኬክ ጠፍቱዋል።,keekiin hundinuu badeera.,General
ሀብታሞች ብዙ ጓደኞች አሉዋቸው።,dureeyyiin hiriyyoota hedduu qabu.,General
እሱ በእርግጠኝነት ይመጣል።,inni ni dhufa mirkanaa'aa dha.,General
መላው ህዝብ ሰላም ይፈልጋል።,sabni guutuun nagaa barbaada.,Government
እንደ ሞኝ አታድርገኝ።,akka waan gowwaa ta'etti na hin ilaalin.,General
በቶኪዮ ላይ ጭስ ተንጠልጥሉዋል።,tookiyoo irratti awwaara fannifame.,General
አሁን የበለጠ ምቾት ይሰማኛል።,amma baay'ee mijataa natti dhaga'ama.,General
ዛሬ በርከት ያሉ ተማሪዎች የሉም።,barattoonni hedduun har'a hin argamne.,Education
የታሸገ አፍንጫ አለኝ።,hidhiin guutame qaba.,General
ጥሩ ስሜት እንድሰማህ የሚያደርግ ነገር የለም፧,Wanti miira gaarii akka sitti dhagaʼamu godhu hin jiruu?,General
ሰዎች የሚኖሩት 70 አመት ገደማ ብቻ ነው።,ilmaan namootaa gara waggaa 70 qofa jiraatu.,General
ቴኒስ በደንብ ይጫወታል።,teenisiin baayyee gaarii taphata.,Agriculture
ይህ ለምን ያህል ጊዜ እንደሚወስድ አላውቅም።,kun yeroo hangamii akka fudhatu hin beeku.,General
ይህ ለእርስዎ እንግዳ ይመስላል፧,sun waan ajaa'ibaa sitti fakkaataa?,General
ልጁ ከእናቱ ጋር ተጣብቁዋል።,mucaan haadha isaatti maxxanee jira.,General
እኔ ጥፋተኛ አይደለሁም።,ani balleessaa hin qabu.,General
ብቻህን ለመጓዝ በጣም ትንሽ ነህ።,kophaa kee imaluuf baay'ee xiqqaadha.,General
ቤቱ የምድር ውስጥ ባቡር ጣቢያ አጠገብ ነው።,manni isaa naannoo buufata meetroo lafa jalaa jira.,General
መጽሀፉን በፍጥነት ማለፍ አይችሉም።,akkasitti daftee kitaabicha keessa darbuu hin dandeessu.,General
ካየኹዋችሁ ጊዜ አልፏል።,erga si argee yeroo muraasa ta'eera.,General
የሚበላ ነገር አለ፧,wanti nyaatamu jiraa?,General
ነገ ይሞቃል።,boru ho'aa ta'uuf jira.,General
አንዳንድ ሰዎች እንዲሁ እንግዳ ናቸው።,namoonni tokko tokko ajaa'iba qofa.,General
ብዙ ጊዜ ሰኞ እመጣለሁ።,yeroo baayyee isniina as nan dhufa.,General
ሽቦዎቹን መለየት አለብን።,wayyaa adda baasuu qabna.,General
ደብዳቤውን የጻፈው ማን ነው፧,xalayaa kana eenyutu barreesse?,General
ድመቱዋ ሾልኮ ወደ ወፏ ገባች።,sareen gara simbirroo sanaatti siqxe.,General
ማንኛውም ነገር ከምንም በላይ ያለ ገደብ የተሻለ ነው።,wanti kamiyyuu homaa caalaa daangaa hin qabne caala.,General
እዚህ ምን እየተካሄደ እንዳለ የማውቅ ይመስለኛል።,waan asitti ta'aa jiru waanan beeku natti fakkaata.,General
ቶም ባልሰራው ወንጀል እስር ቤት ነው።,toom yakka hin raawwanneen mana hidhaa jira.,Government
በጣም ደስተኛ ነኝ።,gammachuu caalaa jira.,General
ተግባቢ ናቸው፧,michoota ni qabaa?,General
ቶም የማርያምን ክፍል ማየት ፈለገ።,toom kutaa meerii arguu barbaade.,Education
የፉጂ ተራራ በሩቅ ይታያል።,tulluu fujiin fagootti mul'ata ture.,General
በጣም ቅርብ የሆነው ሆስፒታል የት አለ፧,hospitaalli dhiyoo eessa jira?,Health/Medical
መፍትሄ ሊኖረኝ ይችላል።,furmaata qabaachuu danda'a.,General
እሱን ያየሁት ለመጨረሻ ጊዜ ነው።,yeroon yeroo dhumaaf isa arge.,General
ከዚያ ትንሽ ችግር እንዳለብን እፈራለሁ።,sana booda xiqqoo rakkoo qabna jedheen sodaadha.,General
አውሮፕላኖች በአውሮፕላን ማረፊያዎች ያርፋሉ።,xiyyaaronni buufata xiyyaaraa irratti bu'u.,General
በሰላም ነው የምንኖረው።,nagaan jiraanna.,Government
ባቡሯ ናፍቆት ሊሆን ይችላል።,baabura ishee irraa haftee ta'uu danda'a.,General
አብረው ይዘምራሉ።,waliin faarfadhaa.,General
የእንግሊዘኛ ቁዋንቁዋ ምንም ጥርጥር የለውም በጣም ቀላሉ እና በተመሳሳይ ጊዜ በጣም ቀልጣፋ የአለም አቀፍ የመገናኛ ዘዴዎች።,afaan ingiliffaa mala qunnamtii idil-addunyaa isa salphaa fi yeroo walfakkaatutti bu'a qabeessa ta'uun isaa shakkii hin qabu.,Religion
መጽሀፍትን ማንበብ እወዳለሁ።,kitaaba dubbisuun natti tola.,General
የምችለውን አውቃለሁ።,waanan dandeettii qabu nan beeka.,General
ቤቱ ነጭ ቀለም ተቀባ።,manni sun adii dibamee ture.,General
ያ ጥሩ አይሆንም፧,sun waan guddaa hin ta'uu?,General
እባክዎን ለሚስትዎ ሰላም ይበሉ።,mee haadha manaa keessan nagaa jedhaa.,Government
ዛሬ እንደዚያ ለማድረግ ፍላጎት የለኝም።,har'a akkas gochuun natti hin dhaga'amu.,General
ብዙ ጓደኞች አሉን።,hiriyyoota hedduu qabna.,General
ዛሬ በጣም ደግ ነው።,har'a baay'ee gara laafessa ta'aa jira.,General
ተጨማሪ እርዳታ የሚያስፈልገኝ አይመስለኝም።,kana booda gargaarsi na barbaachisa jedhee hin yaadu.,General
ስለእኛ አትጨነቅ።,waa'ee keenya hin yaadda'inaa.,General
ያን ያህል በቀላሉ አልፈራም።,ani akkas salphaatti hin sodaadhu.,General
ይህን ማድረግ ለእኛ አስፈላጊ አይመስለኝም።,Kana gochuun nuuf barbaachisaa natti hin fakkaatu.,General
ታላቅ ደስታን ያመጣልኛል።,gammachuu guddaa naaf fida.,General
ለምን እንዲህ አደርጋለሁ፧,maaliif akkas godha?,General
ምናልባት ያንን ማድረግ አይችሉም።,san gochuu hin dandeessu ta'a.,General
ሁለቱ በክፍሉ ውስጥ ናቸው።,lamaan isaanii kutaa keessa jiru.,General
ቶም ከእንግዲህ አይናደድም።,toom kana booda hin aaru.,General
ወደ ትምህርት ቤት እንዴት ሄድክ፧,akkamitti mana barumsaa geessu?,Education
ማጉረምረም የለብንም።,iyyachuu hin qabnu.,General
ሁሉም ሰው ህጉን ማወቅ አለበት፣ ነገር ግን ጥቂት ሰዎች በትክክል ያውቃሉ።,"namni hundi seera beeka jedhamee yaadame, garuu namoonni dhuguma beekan muraasa.",General
በዚህ ላይ ፍላጎት እንዳለህ አስብ ነበር።,kanaaf fedhii qabda jedheen yaade.,General
በወጣትነቴ ብዙ ጊዜ እግር ኳስ እጫወት ነበር።,yeroo baay'ee yeroon dargaggeessa turetti kubbaa miilaa nan taphadha ture.,General
ኮፍያዬን ላንተ አውልቄአለሁ!,kophee koo siif baafadha!,Business/Economy
ምን አገኛለሁ፧,Maalan argadha?,General
ሞዛርት መቼ እንደሞተ ታውቃለህ፧,mozart yoom akka du'e beektaa?,General
ቲሹ ለቶም ይስጡ።,toomiif tishuu tokko kenni.,General
ታሪኩን ስሰማ ራሴን ሳትቀር ቀረሁ።,seenaa sana yeroon dhaga'u of wallaaluuf jedhe.,General
በሩን ከፈተ።,innis balbala bane.,General
መቀመጫዋን ለአንዲት አሮጊት ሴት አቀረበች።,teessoo ishee jaartii tokkoof dhiheessite.,General
እዚህ አካባቢ ጥቂት ቤቶች አሉ።,naannoo kanaa manneen muraasa.,General
ለወላጆቼ እንደማልጠጣ ቃል ገባሁላቸው።,warra kootti akkan hin dhugne waadaa gale.,General
ምርጫ የለኝም። ማድረግ አለብኝ።,filannoo hin qabu. ani gochuun qaba.,Government
ቶም በመኪናዬ ምን እያደረገ ነው፧,toom konkolaataa kootiin maal hojjechaa jira?,General
የቢራ ጠርሙሶች ከመስታወት የተሰሩ ናቸው።,qaruuraa biiraa kan hojjetame geejjibaa irraati.,General
እስር ቤት በነበርኩበት ጊዜ ብዙ አነባለሁ።,yeroon mana hidhaa ture baay'een dubbise.,Government
ይህ እውነተኛ ተወዳጅ ነገር ነው።,kun meeshaa beekamaa dhugaadha.,General
እናቴ የምታውቅ ይመስለኛል።,haati koo waan beektu natti fakkaata.,General
የቲማቲም ጣእም አልወድም።,mi'aan timaatima hin jaalladhu.,Agriculture
የእኔን ቦታ አንድ ሰው ወሰደ።,namni tokko bakka koo bu'e.,General
በፍጹም! ካሜራየን ረሳሁት።,Gonkuma! Kaameeraa koo nan dagadhe.,General
ቶም ብቅ ይላል ብዬ አሰብኩ።,toom ni mul'ata jedheen yaade.,General
ዜናውን ያገኘሁት ከታማኝ ምንጭ ነው።,oduu kana madda amanamaa irraan argadhe.,General
እግዚአብሄርን ማንም አይቶት አያውቅም።,namni waaqayyoon argee hin beeku.,Religion
እኔ የምፈልገው የተወሰነ ሰላም እና ጸጥታ ነው።,wanti ani barbaadu nagaa fi tasgabbii tokko tokkodha.,Government
ቶም ከመናገሩ በፊት አያስብም።,toom osoo hin dubbatin dura hin yaadu.,General
ቶም ምንም ጉዳት የሌለው ይመስላል።,toom miidhaa kan hin qabne fakkaata.,General
ጦርነት ማንንም አያስደስትም።,waraanni nama tokkollee hin gammachiisu.,Government
በወረርሽኝ እና በወረርሽኝ መካከል ያለው ልዩነት ምንድን ነው፧,garaagarummaan weerara fi weerara dhibee maali?,Health/Medical
ይህ የፖም ጣእም በጣም ጎምዛዛ ነው።,abaaboo kun baay'ee dhadhaa dha.,General
ኮንሰርታችን ለሌላ ጊዜ ተላልፏል።,konsartiin keenya yeroo biraatti darbeera.,General
ያነሰ ትእግስት ማጣት አለብዎት።,obsa dhabuu qabda.,General
ይህችን ከተማ እወዳታለሁ።,Magaalaa kana baay'een jaalladhe.,General
ያ ነገር መርዝ ነው።,wanti sun summii dha.,Health/Medical
የለበሱትን ልብስ ወድጄዋለሁ።,uffata ati uffatte baay'een jaalladha.,General
ሳታንኳኩ ክፍሌ ውስጥ እንዳትገባ።,osoo hin rukutin kutaa koo keessa hin dhufin.,General
ቦርሳህን ከሶፋው ጀርባ አገኘሁት።,borsaa kee soofaa duuba argadhe.,General
ቶም እና ሜሪ ቴኒስ እየተጫወቱ ነው።,toomii fi meerii teenisii taphachaa jiru.,General
ሁለታችንም አብደናል።,lamaan keenyayyuu maraannee jirra.,General
ያንን በትክክል እንዴት ማድረግ እንዳለብዎት የማሳይዎት ጊዜ አሁን ይመስለኛል።,akkamitti akkas sirritti akka gootan yeroon itti agarsiisu amma natti fakkaata.,Agriculture
ቶም ያደረከውን ያውቃል አይደል፧,toom waan ati goote ni beeka mitii?,General
ቀዝቃዛ ነገር መጠጣት አልፈልግም።,waan qorraa dhuguu hin barbaadu.,General
ወፎች ረጅም ርቀት ይበርራሉ።,simbirroonni fageenya dheeraa balali'u.,General
ይህ በእኔ እና በአንተ መካከል ነው።,kun anaa fi si gidduu jira.,General
ይህ ጋዝ መጥፎ ሽታ ይሰጣል።,gaasiin kun urgaa hamaa ni baasa.,General
ቶም ምስሉን የሰጣትን ማርያምን ጠየቃት።,toom suuraa sana eenyu akka isheef kenne meerii gaafate.,Religion
አልጨረስኩም ነበር።,hin xumuramne.,General
በሰዋስው ጥሩ አልነበርኩም።,seerluga irratti gonkumaa ga'umsa hin qabu ture.,General
እሱ በእንግሊዝኛ ስነ ጽሁፍ ውስጥ በደንብ ተነቡዋል።,ogbarruu afaan ingilizii keessatti akka gaariitti dubbifama.,Agriculture
ትላንት ስለተፈጠረው ነገር እናውራ።,mee waan kaleessa ta'e haa dubbannu.,General
ምናልባት ጥሩ ሀሳብ ላይሆን ይችላል።,tarii yaada gaarii ta'uu dhiisuu danda'a.,General
ከምሳ በኹዋላ ሲጋራ አጨስ።,laaqana booda sigaaraa xuuxe.,General
ለምንድነው ሁል ጊዜ ወደ ውስጥ የሚገቡት፧,yeroo hunda maaliif butt in goota?,General
ቶም በማወዛወዝ ላይ እየተወዛወዘ ነው።,toom lulluuqqaa irratti lulluuqqachaa jira.,General
ያንን ፊልም ማየት ያለብዎት ይመስለኛል።,fiilmii sana ilaaluu qabda jedheen yaada.,General
የምትናገረውን ሁሉ ሁልጊዜ ሊገባኝ አልቻለም።,yeroo hunda waan ati jettu hunda hubachuu hin danda'u.,General
በግብዣው ላይ መገኘት አልቻልኩም፣ አልፈለግኩም።,"ayyaana kanarratti hirmaachuu hin dandeenye, akkasumas hirmaachuu hin barbaanne.",Agriculture
ምድር 12፣742 ኪሎ ሜትር ዲያሜትር አላት።,"lafti daayameetira kiiloo meetira 12,742 qabdi.",General
ከእሱ ጋር ስለተለያየሁ ተናደደኝ።,innis waanan isa waliin addaan ba'eef natti aare.,General
ቶም ይህን ለማድረግ የመጀመሪያው ሰው እንደሚሆን ተናግሯል።,toom nama jalqaba akkas godhu akka ta'u dubbateera.,Government
እንጆሪዎችን ይወዳሉ፧,istiroberii ni jaallattu?,General
ሚስቶች አብዛኛውን ጊዜ ባሎች ይበልጣሉ።,yeroo baayʼee haadhotii manaa abbaa warraa caalaa umriin jiraatu.,General
ማን እንደሆንክ አትርሳ።,eenyu akka taate hin dagatin.,General
ዘይት ለስልጣኔ እድገት ትልቅ ሚና ተጫውቱዋል።,boba'aan guddina qaroominaa keessatti gahee olaanaa taphateera.,General
በዩፎዎች ታምናለህ፧,ufotti ni amantaa?,General
እየዋሸሽኝ ነው።,na sobaa jirta.,General
